,start_freq,end_freq,probability,index
0,1076.0879516601562,1076.0993957519531,0.559,2214.0
1,1072.1969604492188,1072.2084045410156,0.539,4254.0
2,1071.5904235839844,1071.6018676757812,0.674,4572.0
3,1069.9539184570312,1069.9653625488281,0.678,5430.0
4,1069.3130493164062,1069.3244934082031,0.55,5766.0
5,1066.7152404785156,1066.7266845703125,0.516,7128.0
6,1064.7468566894531,1064.75830078125,0.513,8160.0
7,1062.0803833007812,1062.0918273925781,0.538,9558.0
8,1059.1506958007812,1059.1621398925781,0.603,11094.0
9,1056.5071105957031,1056.5185546875,0.598,12480.0
10,1056.0035705566406,1056.0150146484375,0.527,12744.0
11,1055.4428100585938,1055.4542541503906,0.515,13038.0
12,1054.1267395019531,1054.13818359375,0.503,13728.0
13,1046.2646484375,1046.2760925292969,0.501,17850.0
14,1045.4750061035156,1045.4864501953125,0.605,18264.0
15,1043.4150695800781,1043.426513671875,0.681,19344.0
16,1043.4036254882812,1043.4150695800781,0.545,19350.0
17,1041.4924621582031,1041.50390625,0.599,20352.0
18,1039.48974609375,1039.5011901855469,0.835,21402.0
19,1037.4984741210938,1037.5099182128906,0.55,22446.0
20,1033.1497192382812,1033.1611633300781,0.523,24726.0
21,1032.5889587402344,1032.6004028320312,0.687,25020.0
22,1030.0712585449219,1030.0827026367188,0.569,26340.0
23,1028.7437438964844,1028.7551879882812,0.722,27036.0
24,1025.848388671875,1025.8598327636719,0.563,28554.0
25,1024.6696472167969,1024.6810913085938,0.566,29172.0
26,1136.5699768066406,1136.5814208984375,0.548,72.0
27,1135.4598999023438,1135.4713439941406,0.672,654.0
28,1135.4026794433594,1135.4141235351562,0.513,684.0
29,1127.838134765625,1127.8495788574219,0.696,4650.0
30,1127.7236938476562,1127.7351379394531,0.62,4710.0
31,1127.4948120117188,1127.5062561035156,0.506,4830.0
32,1125.0,1125.0114440917969,0.532,6138.0
33,1124.7482299804688,1124.7596740722656,0.507,6270.0
34,1122.0016479492188,1122.0130920410156,0.642,7710.0
35,1121.978759765625,1121.9902038574219,0.848,7722.0
36,1118.9804077148438,1118.9918518066406,0.51,9294.0
37,1117.3324584960938,1117.3439025878906,0.66,10158.0
