,start_freq,end_freq,probability,index
0,1077.720679896556,1077.732294118558,0.606,1338.0
1,1073.829915525892,1073.841529747894,0.648,3348.0
2,1068.54544451499,1068.557058736992,0.562,6078.0
3,1066.1296863385778,1066.1413005605798,0.74,7326.0
4,1066.1064578945739,1066.1180721165758,0.527,7338.0
5,1064.9101930283696,1064.9218072503716,0.66,7956.0
6,1064.8753503623636,1064.8869645843656,0.527,7974.0
7,1064.8288934743557,1064.8405076963577,0.586,7998.0
8,1064.7940508083498,1064.8056650303517,0.859,8016.0
9,1064.7592081423438,1064.7708223643458,0.83,8034.0
10,1064.7359796983399,1064.7475939203418,0.733,8046.0
11,1064.654680144326,1064.666294366328,0.756,8088.0
12,1064.631451700322,1064.643065922324,0.718,8100.0
13,1064.608223256318,1064.61983747832,0.757,8112.0
14,1064.5733805903121,1064.584994812314,0.844,8130.0
15,1064.5501521463082,1064.5617663683101,0.766,8142.0
16,1064.4920810362983,1064.5036952583002,0.86,8172.0
17,1064.3294819282705,1064.3410961502725,0.761,8256.0
18,1064.3062534842666,1064.3178677062685,0.597,8268.0
19,1064.2365681522547,1064.2481823742567,0.784,8304.0
20,1064.085583266229,1064.097197488231,0.576,8382.0
21,1064.027512156219,1064.039126378221,0.594,8412.0
22,1063.8416846041873,1063.8532988261893,0.858,8508.0
23,1063.6326286081517,1063.6442428301536,0.797,8616.0
24,1063.5164863881319,1063.5281006101338,0.55,8676.0
25,1063.5048721661299,1063.5164863881319,0.623,8682.0
26,1063.481643722126,1063.493257944128,0.847,8694.0
27,1063.38872994611,1063.400344168112,0.537,8742.0
28,1063.377115724108,1063.38872994611,0.744,8748.0
29,1063.3538872801041,1063.365501502106,0.825,8760.0
30,1063.2842019480922,1063.2958161700942,0.579,8796.0
31,1063.2377450600843,1063.2493592820863,0.852,8820.0
32,1063.1448312840685,1063.1564455060704,0.909,8868.0
33,1063.0635317300546,1063.0751459520566,0.786,8910.0
34,1063.0286890640486,1063.0403032860506,0.7,8928.0
35,1062.9938463980427,1063.0054606200447,0.69,8946.0
36,1062.9706179540387,1062.9822321760407,0.626,8958.0
37,1062.9590037320368,1062.9706179540387,0.813,8964.0
38,1062.9009326220269,1062.9125468440288,0.864,8994.0
39,1062.866089956021,1062.877704178023,0.796,9012.0
40,1062.854475734019,1062.866089956021,0.747,9018.0
41,1062.796404624009,1062.808018846011,0.702,9048.0
42,1062.703490847993,1062.715105069995,0.516,9096.0
43,1062.691876625991,1062.703490847993,0.894,9102.0
44,1062.5873486279731,1062.5989628499751,0.781,9156.0
45,1062.5408917399652,1062.5525059619672,0.89,9180.0
46,1062.5060490739593,1062.5176632959613,0.774,9198.0
47,1062.4247495199454,1062.4363637419474,0.533,9240.0
48,1062.3550641879335,1062.3666784099355,0.628,9276.0
49,1062.3086072999256,1062.3202215219276,0.608,9300.0
50,1062.2621504119177,1062.2737646339197,0.656,9324.0
51,1062.2505361899157,1062.2621504119177,0.872,9330.0
52,1062.2273077459117,1062.2389219679137,0.848,9342.0
53,1062.2040793019078,1062.2156935239097,0.81,9354.0
54,1062.122779747894,1062.1343939698959,0.725,9396.0
55,1062.09955130389,1062.111165525892,0.58,9408.0
56,1062.087937081888,1062.09955130389,0.504,9414.0
57,1061.0891139897176,1061.1007282117196,0.659,9930.0
58,1061.0194286577057,1061.0310428797077,0.517,9966.0
59,1060.903286437686,1060.9149006596879,0.661,10026.0
60,1060.86844377168,1060.880057993682,0.669,10044.0
61,1060.7639157736621,1060.775529995664,0.697,10098.0
62,1060.101905119549,1060.113519341551,0.61,10440.0
63,1060.090290897547,1060.101905119549,0.556,10446.0
64,1059.9973771215311,1060.0089913435331,0.522,10494.0
65,1059.8463922355054,1059.8580064575074,0.844,10572.0
66,1059.532808241452,1059.5444224634539,0.859,10734.0
67,1059.2424526914024,1059.2540669134044,0.647,10884.0
68,1059.2192242473984,1059.2308384694004,0.533,10896.0
69,1047.732758687438,1047.74437290944,0.632,16830.0
70,1041.3797792523537,1041.3913934743557,0.735,20112.0
71,1034.5157740491823,1034.5273882711842,0.515,23658.0
72,1032.2626149807977,1032.2742292027997,0.576,24822.0
73,1032.10001587277,1032.111630094772,0.785,24906.0
74,1032.065173206764,1032.076787428766,0.789,24924.0
75,1032.053558984762,1032.065173206764,0.518,24930.0
76,1032.018716318756,1032.030330540758,0.649,24948.0
77,1031.5657616606788,1031.5773758826808,0.822,25182.0
78,1030.81083723055,1030.822451452552,0.597,25572.0
79,1030.0907554664273,1030.1023696884292,0.729,25944.0
80,1029.9862274684092,1029.9978416904114,0.726,25998.0
81,1029.9746132464074,1029.9862274684092,0.6,26004.0
82,1029.9629990244052,1029.9746132464074,0.547,26010.0
83,1029.9513848024035,1029.9629990244052,0.768,26016.0
84,1029.8700852483894,1029.8816994703914,0.766,26058.0
85,1029.3939021463082,1029.4055163683101,0.874,26304.0
86,1027.0594435239097,1027.0710577459117,0.869,27510.0
87,1026.1303057637513,1026.1419199857532,0.767,27990.0
88,1025.9793208777255,1025.9909350997275,0.612,28068.0
89,1025.3289244456146,1025.3405386676166,0.723,28404.0
90,1073.766037304881,1073.777651526883,0.804,3378.0
91,1066.588448107656,1066.600062329658,0.538,7086.0
92,1064.9160001393705,1064.9276143613724,0.554,7950.0
93,1064.8927716953665,1064.9043859173685,0.547,7962.0
94,1064.8695432513625,1064.8811574733645,0.58,7974.0
95,1064.8347005853566,1064.8463148073586,0.843,7992.0
96,1064.8230863633546,1064.8347005853566,0.855,7998.0
97,1064.8114721413526,1064.8230863633546,0.9,8004.0
98,1064.7998579193506,1064.8114721413526,0.713,8010.0
99,1064.7766294753467,1064.7882436973487,0.655,8022.0
100,1064.7650152533447,1064.7766294753467,0.527,8028.0
101,1064.7301725873388,1064.7417868093407,0.643,8046.0
102,1064.648873033325,1064.6604872553269,0.667,8088.0
103,1064.637258811323,1064.648873033325,0.594,8094.0
104,1064.555959257309,1064.567573479311,0.664,8136.0
105,1064.532730813305,1064.544345035307,0.891,8148.0
106,1064.3933601492813,1064.4049743712833,0.625,8220.0
107,1064.1726899312437,1064.1843041532456,0.683,8334.0
108,1064.1146188212338,1064.1262330432357,0.536,8364.0
109,1063.9171770472,1063.928791269202,0.745,8466.0
110,1063.8591059371902,1063.8707201591922,0.504,8496.0
111,1063.8242632711842,1063.8358774931862,0.892,8514.0
112,1063.7894206051783,1063.8010348271803,0.773,8532.0
113,1063.6384357191525,1063.6500499411545,0.78,8610.0
114,1063.6152072751486,1063.6268214971506,0.836,8622.0
115,1063.4874508331268,1063.4990650551288,0.785,8688.0
116,1063.4409939451189,1063.4526081671208,0.581,8712.0
117,1063.382922835109,1063.394537057111,0.54,8742.0
118,1063.359694391105,1063.371308613107,0.621,8754.0
119,1063.2783948370911,1063.290009059093,0.627,8796.0
120,1063.2435521710852,1063.2551663930872,0.887,8814.0
121,1063.1274099510654,1063.1390241730674,0.671,8874.0
122,1063.0693388410555,1063.0809530630574,0.695,8904.0
123,1063.0461103970515,1063.0577246190535,0.542,8916.0
124,1063.0344961750495,1063.0461103970515,0.59,8922.0
125,1063.0228819530475,1063.0344961750495,0.575,8928.0
126,1062.9996535090436,1063.0112677310456,0.788,8940.0
127,1062.9531966210357,1062.9648108430376,0.756,8964.0
128,1062.9067397330277,1062.9183539550297,0.698,8988.0
129,1062.8951255110258,1062.9067397330277,0.731,8994.0
130,1062.8835112890238,1062.8951255110258,0.817,9000.0
131,1062.8718970670218,1062.8835112890238,0.646,9006.0
132,1062.8486686230178,1062.8602828450198,0.838,9018.0
133,1062.790597513008,1062.80221173501,0.728,9048.0
134,1062.6976837369918,1062.7092979589938,0.764,9096.0
135,1062.546698850966,1062.558313072968,0.522,9174.0
136,1062.5350846289641,1062.546698850966,0.856,9180.0
137,1062.4886277409562,1062.5002419629582,0.532,9204.0
138,1062.4537850749502,1062.4653992969522,0.898,9222.0
139,1062.2911859669225,1062.3028001889245,0.711,9306.0
140,1062.2331148569126,1062.2447290789146,0.71,9336.0
141,1062.2215006349106,1062.2331148569126,0.861,9342.0
142,1062.1982721909067,1062.2098864129086,0.668,9354.0
143,1062.1518153028987,1062.1634295249007,0.685,9378.0
144,1062.0937441928888,1062.1053584148908,0.73,9408.0
145,1061.8382313088453,1061.8498455308472,0.644,9540.0
146,1061.408505094772,1061.420119316774,0.567,9762.0
147,1061.2226775427403,1061.2342917647422,0.562,9858.0
148,1060.8742508826808,1060.8858651046828,0.741,10038.0
149,1060.804565550669,1060.816179772671,0.558,10074.0
150,1060.3167682265855,1060.3283824485875,0.505,10326.0
151,1060.1890117845637,1060.2006260065657,0.851,10392.0
152,1059.9102704565162,1059.9218846785182,0.57,10536.0
153,1059.2831024684092,1059.2947166904112,0.503,10860.0
154,1056.0543487518582,1056.0659629738602,0.594,12528.0
155,1055.462023429757,1055.473637651759,0.502,12834.0
156,1051.9777568291624,1051.9893710511644,0.539,14634.0
157,1050.7350350749502,1050.7466492969522,0.595,15276.0
158,1049.67814087277,1049.689755094772,0.619,15822.0
159,1047.726951576437,1047.738565798439,0.677,16830.0
160,1047.3669106943755,1047.3785249163775,0.787,17016.0
161,1046.7397427062685,1046.7513569282705,0.553,17340.0
162,1044.8350102979434,1044.8466245199454,0.559,18324.0
163,1044.6724111899157,1044.6840254119177,0.551,18408.0
164,1042.547008563553,1042.558622785555,0.536,19506.0
165,1039.9918797231169,1040.0034939451189,0.533,20826.0
166,1037.912933984762,1037.924548206764,0.562,21900.0
167,1035.961744688429,1035.973358910431,0.698,22908.0
168,1032.082594539767,1032.0942087617689,0.75,24912.0
169,1032.012909207755,1032.024523429757,0.698,24948.0
170,1031.5715687716797,1031.5831829936817,0.678,25176.0
171,1030.131405243434,1030.143019465436,0.779,25920.0
172,1030.0501056894202,1030.0617199114222,0.719,25962.0
173,1029.9920345794103,1030.0036488014123,0.623,25992.0
174,1029.9571919134041,1029.9688061354063,0.758,26010.0
175,1029.2951812592912,1029.3067954812932,0.549,26352.0
176,1028.9932114872397,1029.0048257092417,0.822,26508.0
177,1028.6215563831763,1028.6331706051783,0.543,26700.0
178,1027.8201750650396,1027.8317892870416,0.557,27114.0
179,1025.648315550669,1025.659929772671,0.687,28236.0
180,1134.152006937562,1134.163621159564,0.57,1320.0
181,1134.0126362735382,1134.0242504955402,0.679,1392.0
182,1133.9545651635283,1133.9661793855303,0.506,1422.0
183,1128.4610381565906,1128.4726523785926,0.699,4260.0
184,1126.40532086224,1126.416935084242,0.66,5322.0
185,1125.8594524281466,1125.8710666501486,0.577,5604.0
186,1124.0011769078296,1124.0127911298316,0.811,6564.0
187,1118.9373761149652,1118.9489903369672,0.513,9180.0
188,1113.327706888008,1113.33932111001,0.517,12078.0
189,1113.0489655599604,1113.0605797819624,0.756,12222.0
190,1105.9875185827552,1105.9991328047572,0.691,15870.0
191,1105.1977514866205,1105.2093657086225,0.569,16278.0
192,1100.192021803766,1100.203636025768,0.53,18864.0
193,1097.1026387512388,1097.1142529732408,0.56,20460.0
194,1097.021339197225,1097.032953419227,0.709,20502.0
195,1096.974882309217,1096.986496531219,0.74,20526.0
196,1095.8483027750249,1095.8599169970269,0.587,21108.0
197,1095.836688553023,1095.8483027750249,0.748,21114.0
198,1095.2908201189296,1095.3024343409315,0.712,21396.0
199,1095.046921456888,1095.05853567889,0.533,21522.0
200,1094.3036112487612,1094.3152254707632,0.846,21906.0
201,1093.3047881565906,1093.3164023785926,0.6,22422.0
202,1093.2583312685827,1093.2699454905846,0.563,22446.0
203,1090.0992628840436,1090.1108771060456,0.578,24078.0
204,1090.0760344400396,1090.0876486620416,0.801,24090.0
205,1090.0644202180376,1090.0760344400396,0.817,24096.0
206,1090.0295775520317,1090.0411917740337,0.583,24114.0
207,1089.9947348860258,1090.0063491080277,0.79,24132.0
208,1089.9715064420218,1089.9831206640238,0.709,24144.0
209,1089.9366637760158,1089.9482779980178,0.707,24162.0
210,1089.7159935579782,1089.7276077799802,0.678,24276.0
211,1089.5766228939544,1089.5882371159564,0.576,24348.0
212,1089.3791811199208,1089.3907953419227,0.705,24450.0
213,1088.2409873637264,1088.2526015857284,0.561,25038.0
214,1084.7683349851338,1084.7799492071358,0.545,26832.0
215,1083.932111000991,1083.943725222993,0.746,27264.0
216,1083.1423439048563,1083.1539581268582,0.552,27672.0
217,1082.2712772547077,1082.2828914767097,0.677,28122.0
218,1081.7137945986124,1081.7254088206146,0.612,28410.0
219,1134.3320273785926,1134.3436416005945,0.512,1224.0
220,1132.9731634043605,1132.9847776263625,0.621,1926.0
221,1129.9650799058472,1129.9766941278492,0.529,3480.0
222,1127.2241235133795,1127.2357377353815,0.677,4896.0
223,1123.565643582755,1123.577257804757,0.658,6786.0
224,1123.3333591427154,1123.3449733647174,0.639,6906.0
225,1122.6597342666005,1122.6713484886025,0.578,7254.0
226,1118.943183225966,1118.954797447968,0.602,9174.0
227,1112.0211069127847,1112.0327211347867,0.735,12750.0
228,1110.3486589444994,1110.3602731665014,0.547,13614.0
229,1104.2744208374627,1104.2860350594647,0.52,16752.0
230,1101.556692888999,1101.5683071110009,0.685,18156.0
231,1097.1549027502476,1097.1665169722496,0.688,20430.0
232,1097.1432885282456,1097.1549027502476,0.734,20436.0
233,1097.0968316402377,1097.1084458622397,0.717,20460.0
234,1097.0271463082258,1097.0387605302278,0.772,20496.0
235,1096.318678766105,1096.330292988107,0.622,20862.0
236,1095.8424956640238,1095.8541098860258,0.521,21108.0
237,1095.0411143458869,1095.0527285678888,0.505,21522.0
238,1094.4139463577799,1094.4255605797819,0.853,21846.0
239,1094.1932761397422,1094.2048903617442,0.729,21960.0
240,1093.2757526015855,1093.2873668235875,0.532,22434.0
241,1092.381457507433,1092.393071729435,0.526,22896.0
242,1091.4987766352824,1091.5103908572844,0.535,23352.0
243,1091.3826344152626,1091.3942486372646,0.509,23412.0
244,1090.0818415510405,1090.0934557730425,0.561,24084.0
245,1090.0702273290385,1090.0818415510405,0.955,24090.0
246,1090.0353846630326,1090.0469988850346,0.839,24108.0
247,1089.9889277750246,1090.0005419970266,0.813,24132.0
248,1089.9773135530227,1089.9889277750246,0.656,24138.0
249,1089.9424708870167,1089.9540851090187,0.887,24156.0
250,1089.8495571110009,1089.8611713330029,0.711,24204.0
251,1089.5824300049553,1089.5940442269573,0.898,24342.0
252,1088.6068353567887,1088.6184495787907,0.653,24846.0
253,1088.2119518087213,1088.2235660307233,0.759,25050.0
254,1088.0841953666995,1088.0958095887015,0.565,25116.0
255,1087.247971382557,1087.2595856045589,0.801,25548.0
256,1086.1678487363724,1086.1794629583744,0.514,26106.0
257,1084.7044567641228,1084.7160709861248,0.681,26862.0
258,1083.9611465559958,1083.9727607779978,0.727,27246.0
259,1081.313103939544,1081.324718161546,0.594,28614.0
260,1192.1047970608277,1192.1164112828296,0.712,516.0
261,1190.8040041966055,1190.8156184186075,0.646,1188.0
262,1188.1327331361497,1188.1443473581517,0.674,2568.0
263,1187.0177678239593,1187.0293820459613,0.636,3144.0
264,1184.0793696574578,1184.0909838794598,0.654,4662.0
265,1183.6496434433845,1183.6612576653865,0.526,4884.0
266,1183.2663741173192,1183.2779883393212,0.591,5082.0
267,1182.5462923531961,1182.557906575198,0.747,5454.0
268,1182.2791652471506,1182.2907794691525,0.675,5592.0
269,1182.1862514711347,1182.1978656931367,0.505,5640.0
270,1181.7332968130574,1181.7449110350594,0.604,5874.0
271,1181.6403830370416,1181.6519972590436,0.834,5922.0
272,1181.5474692610258,1181.5590834830277,0.61,5970.0
273,1181.2803421549802,1181.2919563769822,0.584,6108.0
274,1181.1874283789643,1181.1990426009663,0.603,6156.0
275,1180.9319154949208,1180.9435297169227,0.743,6288.0
276,1180.757702164891,1180.769316386893,0.792,6378.0
277,1180.5138035028494,1180.5254177248514,0.581,6504.0
278,1180.1653768427898,1180.1769910647918,0.552,6684.0
279,1180.014391956764,1180.026006178766,0.524,6762.0
280,1179.99116351276,1180.002777734762,0.535,6774.0
281,1179.8634070707383,1179.8750212927403,0.617,6840.0
282,1179.8401786267343,1179.8517928487363,0.593,6852.0
283,1179.6891937407086,1179.7008079627105,0.627,6930.0
284,1179.5033661886769,1179.5149804106788,0.515,7026.0
285,1179.363995524653,1179.375609746655,0.547,7098.0
286,1179.1665537506194,1179.1781679726214,0.584,7200.0
287,1179.1200968626115,1179.1317110846135,0.644,7224.0
288,1179.1084826406095,1179.1200968626115,0.591,7230.0
289,1178.6439137605303,1178.6555279825322,0.563,7470.0
290,1178.5626142065164,1178.5742284285184,0.598,7512.0
291,1178.4464719864966,1178.4580862084986,0.697,7572.0
292,1178.2722586564669,1178.2838728784689,0.819,7662.0
293,1178.190959102453,1178.202573324455,0.562,7704.0
294,1177.9819031064173,1177.9935173284193,0.654,7812.0
295,1177.9470604404114,1177.9586746624134,0.631,7830.0
296,1177.9354462184094,1177.9470604404114,0.562,7836.0
297,1177.8541466643953,1177.8657608863973,0.522,7878.0
298,1176.4952826901635,1176.5068969121655,0.582,8580.0
299,1176.158470252106,1176.170084474108,0.603,8754.0
300,1176.1120133640982,1176.1236275861002,0.583,8778.0
301,1176.0771706980922,1176.0887849200942,0.516,8796.0
302,1175.9726427000744,1175.9842569220764,0.545,8850.0
303,1175.8448862580526,1175.8565004800546,0.614,8916.0
304,1175.6939013720269,1175.7055155940288,0.66,8994.0
305,1175.647444484019,1175.659058706021,0.614,9018.0
306,1175.542916486001,1175.5545307080029,0.627,9072.0
307,1175.484845375991,1175.496459597993,0.538,9102.0
308,1175.403545821977,1175.415160043979,0.527,9144.0
309,1175.3570889339692,1175.3687031559712,0.64,9168.0
310,1175.3106320459613,1175.3222462679632,0.645,9192.0
311,1175.2874036019573,1175.2990178239593,0.563,9204.0
312,1175.1248044939296,1175.1364187159315,0.547,9288.0
313,1175.0086622739097,1175.0202764959117,0.588,9348.0
314,1174.6718498358523,1174.6834640578543,0.553,9522.0
315,1174.1724382897671,1174.184052511769,0.595,9780.0
316,1173.9517680717295,1173.9633822937315,0.541,9894.0
317,1173.7891689637017,1173.8007831857037,0.544,9978.0
318,1173.673026743682,1173.684640965684,0.71,10038.0
319,1173.66141252168,1173.673026743682,0.668,10044.0
320,1173.649798299678,1173.66141252168,0.563,10050.0
321,1173.4407423036423,1173.4523565256443,0.58,10158.0
322,1173.1503867535926,1173.1620009755945,0.507,10308.0
323,1172.825188537537,1172.836802759539,0.677,10476.0
324,1172.6742036515113,1172.6858178735133,0.563,10554.0
325,1172.5464472094895,1172.5580614314915,0.715,10620.0
326,1172.302548547448,1172.31416276945,0.793,10746.0
327,1172.279320103444,1172.290934325446,0.689,10758.0
328,1172.0586498854063,1172.0702641074083,0.615,10872.0
329,1171.9889645533945,1172.0005787753964,0.517,10908.0
330,1171.7682943353568,1171.7799085573588,0.536,11022.0
331,1171.4198676752974,1171.4314818972994,0.513,11202.0
332,1170.978527239222,1170.990141461224,0.662,11430.0
333,1170.5255725811446,1170.5371868031466,0.705,11664.0
334,1170.4210445831268,1170.4326588051288,0.78,11718.0
335,1169.654505930996,1169.666120152998,0.579,12114.0
336,1169.5848205989842,1169.5964348209861,0.817,12150.0
337,1169.2712366049307,1169.2828508269326,0.596,12312.0
338,1169.050566386893,1169.062180608895,0.504,12426.0
339,1169.004109498885,1169.015723720887,0.617,12450.0
340,1168.4350126207878,1168.4466268427898,0.526,12744.0
341,1168.0982001827304,1168.1098144047323,0.554,12918.0
342,1162.8601860598365,1162.8718002818384,0.79,15624.0
343,1162.6046731757929,1162.6162873977948,0.574,15756.0
344,1161.0019105395193,1161.0135247615212,0.623,16584.0
345,1160.9554536515113,1160.9670678735133,0.628,16608.0
346,1157.7963852669723,1157.8079994889742,0.791,18240.0
347,1157.7034714909564,1157.7150857129584,0.699,18288.0
348,1157.6105577149406,1157.6221719369426,0.548,18336.0
349,1156.7278768427898,1156.7394910647918,0.659,18792.0
350,1156.3910644047323,1156.4026786267343,0.7,18966.0
351,1156.1703941866947,1156.1820084086967,0.61,19080.0
352,1155.996180856665,1156.007795078667,0.677,19170.0
353,1155.8219675266353,1155.8335817486372,0.693,19260.0
354,1154.8463728784689,1154.8579871004708,0.607,19764.0
355,1154.044991560332,1154.056605782334,0.542,20178.0
356,1149.7709578636027,1149.7825720856044,0.749,22386.0
357,1148.0055961193013,1148.0172103413033,0.567,23298.0
358,1144.4632584086967,1144.4748726306987,0.526,25128.0
