,start_freq,end_freq,probability
0,1080.287422958994,1080.299037180996,0.509
1,1080.26419451499,1080.275808736992,0.998
2,1080.2409660709861,1080.2525802929881,0.595
3,1080.1480522949703,1080.1596665169723,0.935
4,1080.0435242969525,1080.0551385189544,0.826
5,1080.0202958529485,1080.0319100749505,0.553
6,1079.9854531869426,1079.9970674089445,0.512
7,1079.9389962989346,1079.9506105209366,0.542
8,1079.9041536329287,1079.9157678549307,0.583
9,1079.8693109669227,1079.8809251889247,0.598
10,1079.8460825229188,1079.8576967449208,0.539
11,1079.741554524901,1079.753168746903,0.515
12,1079.706711858895,1079.718326080897,0.576
13,1079.5092700848613,1079.5208843068633,0.538
14,1079.4628131968534,1079.4744274188554,0.815
15,1079.4279705308475,1079.4395847528494,0.526
16,1079.3698994208376,1079.3815136428395,0.532
17,1079.3582851988356,1079.3698994208376,0.587
18,1079.2305287568138,1079.2421429788158,0.637
19,1079.0447012047819,1079.0563154267838,0.509
20,1079.0330869827799,1079.0447012047819,0.586
21,1078.998244316774,1079.009858538776,0.766
22,1078.97501587277,1078.986630094772,0.943
23,1078.8821020967541,1078.893716318756,0.508
24,1078.6846603227204,1078.6962745447224,0.679
25,1078.6498176567145,1078.6614318787165,0.532
26,1078.5801323247026,1078.5917465467046,0.979
27,1078.4523758826808,1078.4639901046828,0.535
28,1078.371076328667,1078.382690550669,0.543
29,1078.278162552651,1078.289776774653,0.636
30,1078.2433198866452,1078.2549341086471,0.527
31,1078.0574923346135,1078.0691065566155,0.571
32,1077.8600505605798,1077.8716647825818,0.65
33,1077.8484363385778,1077.8600505605798,0.502
34,1077.8368221165758,1077.8484363385778,0.585
35,1077.755522562562,1077.767136784564,0.581
36,1077.709065674554,1077.720679896556,0.502
37,1077.6161518985382,1077.6277661205402,0.989
38,1077.5929234545342,1077.6045376765362,0.963
39,1077.5813092325322,1077.5929234545342,0.596
40,1077.5232381225223,1077.5348523445243,0.629
41,1077.3838674584986,1077.3954816805006,0.518
42,1077.3606390144946,1077.3722532364966,0.573
43,1077.3141821264867,1077.3257963484887,0.552
44,1077.3025679044847,1077.3141821264867,0.748
45,1077.2909536824827,1077.3025679044847,0.736
46,1077.2677252384788,1077.2793394604807,0.595
47,1077.139968796457,1077.151583018459,0.508
48,1077.093511908449,1077.105126130451,0.574
49,1077.081897686447,1077.093511908449,0.502
50,1076.9425270224233,1076.9541412444253,0.55
51,1076.8263848024035,1076.8379990244055,0.508
52,1076.5592576963577,1076.5708719183597,0.519
53,1076.419887032334,1076.431501254336,0.761
54,1076.39665858833,1076.408272810332,0.592
55,1076.373430144326,1076.385044366328,0.72
56,1076.315359034316,1076.326973256318,0.53
57,1076.1759883702923,1076.1876025922943,1.0
58,1076.1527599262884,1076.1643741482903,0.709
59,1076.0366177062685,1076.0482319282705,0.511
60,1075.8391759322349,1075.8507901542368,0.615
61,1075.8275617102329,1075.8391759322349,0.548
62,1075.804333266229,1075.815947488231,0.528
63,1075.781104822225,1075.792719044227,0.584
64,1075.734647934217,1075.746262156219,0.602
65,1075.688191046209,1075.699805268211,0.68
66,1075.6185057141972,1075.6301199361992,0.519
67,1075.4907492721754,1075.5023634941774,0.569
68,1075.4326781621655,1075.4442923841675,0.539
69,1075.3049217201437,1075.3165359421457,0.517
70,1075.2236221661299,1075.2352363881319,0.546
71,1075.200393722126,1075.212007944128,0.506
72,1075.177165278122,1075.188779500124,0.583
73,1075.153936834118,1075.16555105612,0.683
74,1075.142322612116,1075.153936834118,0.707
75,1075.10747994611,1075.119094168112,1.0
76,1075.084251502106,1075.095865724108,0.509
77,1075.0029519480922,1075.0145661700942,0.82
78,1074.9797235040883,1074.9913377260903,0.527
79,1074.8868097280724,1074.8984239500744,0.695
80,1074.7358248420467,1074.7474390640486,0.647
81,1074.596454178023,1074.6080684000249,0.688
82,1074.573225734019,1074.584839956021,0.734
83,1074.549997290015,1074.561611512017,0.502
84,1074.468697736001,1074.480311958003,0.561
85,1074.399012403989,1074.410626625991,0.636
86,1074.2596417399652,1074.2712559619672,0.621
87,1074.1667279639494,1074.1783421859514,0.705
88,1073.771844415882,1073.783458637884,0.682
89,1073.725387527874,1073.737001749876,0.64
90,1073.6440879738602,1073.6557021958622,0.954
91,1073.6208595298563,1073.6324737518582,0.575
92,1073.5047173098365,1073.5163315318384,0.512
93,1073.4466461998265,1073.4582604218285,0.519
94,1073.2956613138008,1073.3072755358028,0.613
95,1073.2492044257929,1073.2608186477948,0.736
96,1073.179519093781,1073.191133315783,0.77
97,1073.144676427775,1073.156290649777,0.529
98,1073.0169199857532,1073.0285342077552,0.54
99,1073.0053057637513,1073.0169199857532,0.526
100,1072.7962497677156,1072.8078639897176,0.513
101,1072.622036437686,1072.6336506596879,0.61
102,1072.58719377168,1072.598807993682,0.566
103,1072.4245946636522,1072.4362088856542,0.694
104,1072.3200666656344,1072.3316808876364,0.625
105,1072.2619955556245,1072.2736097776265,0.508
106,1072.2271528896185,1072.2387671116205,0.627
107,1072.2039244456146,1072.2155386676166,0.627
108,1072.1806960016106,1072.1923102236126,0.519
109,1072.0297111155846,1072.0413253375866,0.53
110,1072.0064826715807,1072.0180968935827,0.646
111,1071.9367973395688,1071.9484115615708,0.553
112,1071.762584009539,1071.774198231541,0.622
113,1071.7277413435331,1071.739355565535,0.548
114,1071.7161271215311,1071.7277413435331,0.518
115,1071.6348275675173,1071.6464417895193,0.659
116,1071.5883706795094,1071.5999849015113,0.915
117,1071.5767564575074,1071.5883706795094,0.56
118,1071.5651422355054,1071.5767564575074,0.503
119,1071.5186853474975,1071.5302995694994,0.575
120,1071.3793146834737,1071.3909289054757,0.681
121,1071.2864009074578,1071.2980151294598,0.563
122,1071.251558241452,1071.2631724634539,0.516
123,1071.170258687438,1071.18187290944,0.525
124,1070.9379742473984,1070.9495884694004,0.505
125,1070.8915173593905,1070.9031315813925,0.702
126,1070.7521466953667,1070.7637609173687,0.586
127,1070.7289182513628,1070.7405324733647,0.648
128,1070.543090699331,1070.554704921333,0.603
129,1070.3456489252974,1070.3572631472994,0.563
130,1070.3108062592914,1070.3224204812934,0.534
131,1070.0785218192518,1070.0901360412538,0.536
132,1070.0436791532459,1070.0552933752479,0.986
133,1070.032064931244,1070.0436791532459,0.597
134,1069.927536933226,1069.939151155228,0.686
135,1069.8810800452181,1069.8926942672201,0.686
136,1069.8462373792122,1069.8578516012142,0.538
137,1069.8230089352082,1069.8346231572102,0.625
138,1069.7997804912043,1069.8113947132063,0.504
139,1069.7300951591922,1069.7417093811941,0.505
140,1069.6371813831763,1069.6487956051783,0.57
141,1069.6255671611743,1069.6371813831763,0.727
142,1069.6023387171704,1069.6139529391723,0.705
143,1069.5791102731664,1069.5907244951684,0.707
144,1069.5674960511644,1069.5791102731664,0.503
145,1069.5094249411545,1069.5210391631565,0.52
