,start_freq,end_freq,probability
0,1860.4568481445312,1860.4682922363281,0.511
1,1860.3195190429688,1860.3309631347656,0.569
2,1860.2622985839844,1860.2737426757812,0.566
3,1860.205078125,1860.2165222167969,0.532
4,1859.747314453125,1859.7587585449219,0.513
5,1858.7631225585938,1858.7745666503906,0.975
6,1858.7059020996094,1858.7173461914062,0.631
7,1858.5685729980469,1858.5800170898438,0.578
8,1857.1380615234375,1857.1495056152344,0.603
9,1856.9664001464844,1856.9778442382812,0.607
10,1855.7647705078125,1855.7762145996094,0.579
11,1855.6045532226562,1855.6159973144531,0.61
12,1855.535888671875,1855.5473327636719,0.628
13,1855.5015563964844,1855.5130004882812,0.574
14,1855.2383422851562,1855.2497863769531,0.574
15,1855.2154541015625,1855.2268981933594,0.562
16,1854.7691345214844,1854.7805786132812,0.54
17,1854.6661376953125,1854.6775817871094,0.503
18,1854.2083740234375,1854.2198181152344,0.595
19,1854.1168212890625,1854.1282653808594,0.556
20,1854.0481567382812,1854.0596008300781,0.525
21,1853.9222717285156,1853.9337158203125,0.525
22,1853.8307189941406,1853.8421630859375,0.669
23,1853.7391662597656,1853.7506103515625,0.618
24,1853.155517578125,1853.1669616699219,0.692
25,1852.8579711914062,1852.8694152832031,0.865
26,1852.8350830078125,1852.8465270996094,0.532
27,1852.8121948242188,1852.8236389160156,0.582
28,1852.7549743652344,1852.7664184570312,0.505
29,1852.5146484375,1852.5260925292969,0.591
30,1852.2171020507812,1852.2285461425781,0.687
31,1852.1369934082031,1852.1484375,0.507
32,1852.0339965820312,1852.0454406738281,0.586
33,1850.958251953125,1850.9696960449219,0.551
34,1849.9168395996094,1849.9282836914062,0.58
35,1849.8023986816406,1849.8138427734375,0.619
36,1849.5964050292969,1849.6078491210938,0.562
37,1849.4247436523438,1849.4361877441406,0.575
38,1849.2073059082031,1849.21875,0.585
39,1848.8983154296875,1848.9097595214844,0.549
40,1848.486328125,1848.4977722167969,0.706
41,1848.4519958496094,1848.4634399414062,0.568
42,1848.1773376464844,1848.1887817382812,0.573
43,1847.7767944335938,1847.7882385253906,0.839
44,1847.6737976074219,1847.6852416992188,0.512
45,1847.6394653320312,1847.6509094238281,0.513
46,1847.5021362304688,1847.5135803222656,0.6
47,1847.4906921386719,1847.5021362304688,0.84
48,1847.3304748535156,1847.3419189453125,0.503
49,1847.1015930175781,1847.113037109375,0.554
50,1846.5293884277344,1846.5408325195312,0.67
51,1846.2776184082031,1846.2890625,0.549
52,1846.1746215820312,1846.1860656738281,0.523
53,1845.9800720214844,1845.9915161132812,0.791
54,1845.8885192871094,1845.8999633789062,0.591
55,1845.831298828125,1845.8427429199219,0.558
56,1845.8084106445312,1845.8198547363281,0.594
57,1845.5108642578125,1845.5223083496094,0.611
58,1845.4879760742188,1845.4994201660156,0.504
59,1845.465087890625,1845.4765319824219,0.66
60,1844.2863464355469,1844.2977905273438,0.631
61,1843.8285827636719,1843.8400268554688,0.549
62,1843.6569213867188,1843.6683654785156,0.527
63,1843.5997009277344,1843.6111450195312,0.568
64,1843.3937072753906,1843.4051513671875,0.521
65,1842.9130554199219,1842.9244995117188,0.986
66,1842.3408508300781,1842.352294921875,0.612
67,1842.3179626464844,1842.3294067382812,0.616
68,1841.986083984375,1841.9975280761719,0.647
69,1841.89453125,1841.9059753417969,0.579
70,1841.8601989746094,1841.8716430664062,0.594
71,1841.2307739257812,1841.2422180175781,0.56
72,1840.8988952636719,1840.9103393554688,0.672
73,1840.4182434082031,1840.4296875,0.54
74,1840.3495788574219,1840.3610229492188,0.532
75,1840.3038024902344,1840.3152465820312,0.708
76,1840.1435852050781,1840.155029296875,0.504
77,1839.2852783203125,1839.2967224121094,0.541
78,1838.7931823730469,1838.8046264648438,0.538
79,1838.41552734375,1838.4269714355469,0.574
80,1837.7975463867188,1837.8089904785156,0.596
81,1837.5343322753906,1837.5457763671875,0.619
82,1837.5,1837.5114440917969,0.649
83,1837.4885559082031,1837.5,0.519
84,1837.4313354492188,1837.4427795410156,0.741
85,1837.225341796875,1837.2367858886719,0.52
86,1837.1910095214844,1837.2024536132812,0.51
87,1836.9392395019531,1836.95068359375,0.537
88,1836.6531372070312,1836.6645812988281,0.544
89,1836.4242553710938,1836.4356994628906,0.943
90,1836.3899230957031,1836.4013671875,0.557
91,1836.0008239746094,1836.0122680664062,0.772
92,1835.8291625976562,1835.8406066894531,0.501
93,1835.6575012207031,1835.6689453125,0.685
94,1835.6460571289062,1835.6575012207031,0.596
95,1834.5588684082031,1834.5703125,0.527
96,1834.3070983886719,1834.3185424804688,0.526
97,1834.0667724609375,1834.0782165527344,0.538
98,1833.8722229003906,1833.8836669921875,0.508
99,1833.837890625,1833.8493347167969,0.632
100,1833.4831237792969,1833.4945678710938,0.753
101,1832.9109191894531,1832.92236328125,0.534
102,1832.5218200683594,1832.5332641601562,0.738
103,1832.464599609375,1832.4760437011719,0.647
104,1832.3272705078125,1832.3387145996094,0.656
105,1831.9496154785156,1831.9610595703125,0.624
106,1831.7436218261719,1831.7550659179688,0.556
107,1831.6291809082031,1831.640625,0.513
108,1831.4231872558594,1831.4346313476562,0.588
109,1831.2286376953125,1831.2400817871094,0.614
110,1831.0226440429688,1831.0340881347656,0.523
