,start_freq,end_freq,probability
0,1860.7086181640625,1860.7200622558594,0.963
1,1860.5712890625,1860.5827331542969,0.692
2,1860.5484008789062,1860.5598449707031,0.662
3,1860.4911804199219,1860.5026245117188,0.527
4,1860.4568481445312,1860.4682922363281,0.539
5,1860.2622985839844,1860.2737426757812,0.53
6,1860.2508544921875,1860.2622985839844,0.505
7,1860.1593017578125,1860.1707458496094,0.518
8,1860.0677490234375,1860.0791931152344,0.515
9,1859.930419921875,1859.9418640136719,0.79
10,1859.8045349121094,1859.8159790039062,0.537
11,1859.7930908203125,1859.8045349121094,0.625
12,1859.7358703613281,1859.747314453125,0.539
13,1859.7244262695312,1859.7358703613281,0.52
14,1859.7015380859375,1859.7129821777344,0.86
15,1859.65576171875,1859.6672058105469,0.779
16,1859.6214294433594,1859.6328735351562,0.795
17,1859.5756530761719,1859.5870971679688,0.559
18,1859.4955444335938,1859.5069885253906,0.624
19,1859.4612121582031,1859.47265625,0.581
20,1859.4039916992188,1859.4154357910156,0.72
21,1859.2552185058594,1859.2666625976562,0.782
22,1859.1636657714844,1859.1751098632812,0.527
23,1859.014892578125,1859.0263366699219,0.57
24,1858.9347839355469,1858.9462280273438,0.635
25,1858.9118957519531,1858.92333984375,0.546
26,1858.8775634765625,1858.8890075683594,0.533
27,1858.7173461914062,1858.7287902832031,0.79
28,1858.6830139160156,1858.6944580078125,0.687
29,1858.6715698242188,1858.6830139160156,0.56
30,1858.6601257324219,1858.6715698242188,0.565
31,1858.6257934570312,1858.6372375488281,0.543
32,1858.6143493652344,1858.6257934570312,0.508
33,1858.6029052734375,1858.6143493652344,0.564
34,1858.5914611816406,1858.6029052734375,0.511
35,1858.4999084472656,1858.5113525390625,0.998
36,1858.465576171875,1858.4770202636719,0.88
37,1858.3625793457031,1858.3740234375,0.852
38,1858.3511352539062,1858.3625793457031,0.503
39,1858.2138061523438,1858.2252502441406,0.513
40,1858.1794738769531,1858.19091796875,0.519
41,1858.1451416015625,1858.1565856933594,0.631
42,1858.1222534179688,1858.1336975097656,0.524
43,1858.1108093261719,1858.1222534179688,0.561
44,1858.0307006835938,1858.0421447753906,0.56
45,1858.0078125,1858.0192565917969,0.556
46,1857.9963684082031,1858.0078125,0.561
47,1857.9620361328125,1857.9734802246094,0.759
48,1857.9277038574219,1857.9391479492188,0.523
49,1857.8819274902344,1857.8933715820312,0.638
50,1857.8704833984375,1857.8819274902344,0.62
51,1857.7217102050781,1857.733154296875,0.605
52,1857.7102661132812,1857.7217102050781,0.681
53,1857.6644897460938,1857.6759338378906,0.717
54,1857.6301574707031,1857.6416015625,0.53
55,1857.5386047363281,1857.550048828125,0.623
56,1857.5157165527344,1857.5271606445312,0.734
57,1857.4241638183594,1857.4356079101562,0.976
58,1857.2982788085938,1857.3097229003906,0.709
59,1857.2067260742188,1857.2181701660156,0.766
60,1857.1609497070312,1857.1723937988281,0.502
61,1857.0579528808594,1857.0693969726562,0.52
62,1857.0465087890625,1857.0579528808594,0.545
63,1856.9664001464844,1856.9778442382812,0.577
64,1856.9549560546875,1856.9664001464844,0.898
