,start_freq,end_freq,probability
0,1860.7086181640625,1860.7200622558594,0.547
1,1860.6056213378906,1860.6170654296875,0.523
2,1860.5484008789062,1860.5598449707031,0.512
3,1860.5255126953125,1860.5369567871094,0.572
4,1860.4568481445312,1860.4682922363281,0.561
5,1860.4454040527344,1860.4568481445312,0.574
6,1860.3767395019531,1860.38818359375,0.507
7,1860.3309631347656,1860.3424072265625,0.635
8,1860.2622985839844,1860.2737426757812,0.546
9,1860.1821899414062,1860.1936340332031,0.696
10,1860.1478576660156,1860.1593017578125,0.69
11,1860.02197265625,1860.0334167480469,0.862
12,1859.9990844726562,1860.0105285644531,0.632
13,1859.9533081054688,1859.9647521972656,0.663
14,1859.9189758300781,1859.930419921875,0.547
15,1859.8159790039062,1859.8274230957031,0.66
16,1859.6328735351562,1859.6443176269531,0.618
17,1859.5870971679688,1859.5985412597656,0.698
18,1859.5298767089844,1859.5413208007812,0.558
19,1859.4154357910156,1859.4268798828125,0.79
20,1859.1865539550781,1859.197998046875,0.646
21,1859.1293334960938,1859.1407775878906,0.535
22,1859.0835571289062,1859.0950012207031,0.738
23,1858.8432312011719,1858.8546752929688,0.639
24,1858.831787109375,1858.8432312011719,0.575
25,1858.8088989257812,1858.8203430175781,0.543
26,1858.6715698242188,1858.6830139160156,0.513
27,1858.6143493652344,1858.6257934570312,0.544
28,1858.6029052734375,1858.6143493652344,0.654
29,1858.4999084472656,1858.5113525390625,0.508
30,1858.4770202636719,1858.4884643554688,0.646
31,1858.4426879882812,1858.4541320800781,0.853
32,1858.4083557128906,1858.4197998046875,0.64
33,1858.2939147949219,1858.3053588867188,0.502
34,1858.2366943359375,1858.2481384277344,0.571
35,1858.2138061523438,1858.2252502441406,0.611
36,1857.8361511230469,1857.8475952148438,0.511
37,1857.733154296875,1857.7445983886719,0.63
38,1857.6759338378906,1857.6873779296875,0.728
39,1857.6072692871094,1857.6187133789062,0.513
40,1857.5614929199219,1857.5729370117188,0.973
41,1857.4928283691406,1857.5042724609375,0.631
42,1857.4699401855469,1857.4813842773438,0.509
43,1857.45849609375,1857.4699401855469,0.554
44,1857.4356079101562,1857.4470520019531,0.519
45,1857.4012756347656,1857.4127197265625,0.512
46,1857.3326110839844,1857.3440551757812,0.628
47,1857.3211669921875,1857.3326110839844,0.525
48,1857.2296142578125,1857.2410583496094,0.541
49,1857.2181701660156,1857.2296142578125,0.508
50,1857.2067260742188,1857.2181701660156,0.517
51,1857.1723937988281,1857.183837890625,0.673
52,1857.1495056152344,1857.1609497070312,0.673
53,1857.1037292480469,1857.1151733398438,0.503
54,1857.0465087890625,1857.0579528808594,0.649
55,1857.0236206054688,1857.0350646972656,0.576
56,1856.8977355957031,1856.9091796875,0.833
57,1856.8862915039062,1856.8977355957031,0.552
58,1856.817626953125,1856.8290710449219,0.515
59,1856.8061828613281,1856.817626953125,0.621
60,1856.7718505859375,1856.7832946777344,0.616
61,1856.5887451171875,1856.6001892089844,0.778
62,1856.5086364746094,1856.5200805664062,0.641
63,1856.451416015625,1856.4628601074219,0.614
64,1856.3484191894531,1856.35986328125,0.576
65,1856.268310546875,1856.2797546386719,0.704
66,1856.2568664550781,1856.268310546875,0.74
67,1856.1653137207031,1856.1767578125,0.665
68,1856.0165405273438,1856.0279846191406,0.605
69,1856.0050964355469,1856.0165405273438,0.719
70,1855.902099609375,1855.9135437011719,0.623
71,1855.810546875,1855.8219909667969,0.524
72,1855.7991027832031,1855.810546875,0.553
73,1855.7876586914062,1855.7991027832031,0.596
74,1855.7533264160156,1855.7647705078125,0.561
75,1855.6617736816406,1855.6732177734375,0.617
76,1855.62744140625,1855.6388854980469,0.563
77,1855.5931091308594,1855.6045532226562,0.691
78,1855.5587768554688,1855.5702209472656,0.573
79,1855.4328918457031,1855.4443359375,0.521
80,1855.3298950195312,1855.3413391113281,0.554
81,1855.2040100097656,1855.2154541015625,0.515
82,1855.1010131835938,1855.1124572753906,0.578
83,1855.0895690917969,1855.1010131835938,0.593
84,1855.078125,1855.0895690917969,0.605
85,1855.0666809082031,1855.078125,0.504
86,1855.0094604492188,1855.0209045410156,0.843
87,1854.986572265625,1854.9980163574219,0.511
88,1854.9293518066406,1854.9407958984375,0.559
89,1854.7805786132812,1854.7920227050781,0.999
90,1854.7691345214844,1854.7805786132812,0.924
91,1854.6890258789062,1854.7004699707031,0.669
92,1854.5631408691406,1854.5745849609375,0.513
93,1854.5173645019531,1854.52880859375,0.526
94,1854.345703125,1854.3571472167969,0.739
95,1854.2999267578125,1854.3113708496094,0.789
96,1854.2312622070312,1854.2427062988281,0.836
97,1854.1969299316406,1854.2083740234375,0.629
98,1854.0596008300781,1854.071044921875,0.569
99,1854.0138244628906,1854.0252685546875,0.616
100,1853.9909362792969,1854.0023803710938,0.501
101,1853.9794921875,1853.9909362792969,0.815
102,1853.9451599121094,1853.9566040039062,0.52
103,1853.9108276367188,1853.9222717285156,0.59
104,1853.8536071777344,1853.8650512695312,0.506
105,1853.8307189941406,1853.8421630859375,0.511
106,1853.7277221679688,1853.7391662597656,0.688
107,1853.5903930664062,1853.6018371582031,0.737
108,1853.5560607910156,1853.5675048828125,0.929
109,1853.4873962402344,1853.4988403320312,0.615
110,1853.4072875976562,1853.4187316894531,0.783
111,1853.3615112304688,1853.3729553222656,0.544
112,1853.2585144042969,1853.2699584960938,0.866
113,1853.2012939453125,1853.2127380371094,0.642
114,1853.0525207519531,1853.06396484375,0.538
115,1853.0296325683594,1853.0410766601562,0.65
116,1852.9838562011719,1852.9953002929688,0.694
117,1852.9609680175781,1852.972412109375,0.726
118,1852.7549743652344,1852.7664184570312,0.647
119,1852.6634216308594,1852.6748657226562,0.627
120,1852.5947570800781,1852.606201171875,0.704
121,1852.5260925292969,1852.5375366210938,0.505
122,1852.4688720703125,1852.4803161621094,0.533
123,1852.3887634277344,1852.4002075195312,0.528
124,1852.2972106933594,1852.3086547851562,0.522
125,1852.2743225097656,1852.2857666015625,0.566
126,1852.0454406738281,1852.056884765625,0.617
127,1852.0339965820312,1852.0454406738281,0.597
128,1851.8165588378906,1851.8280029296875,0.679
129,1851.8051147460938,1851.8165588378906,0.755
130,1851.7822265625,1851.7936706542969,0.582
131,1851.6677856445312,1851.6792297363281,0.633
132,1851.5876770019531,1851.59912109375,0.509
133,1851.5762329101562,1851.5876770019531,0.531
134,1851.5419006347656,1851.5533447265625,0.511
135,1851.507568359375,1851.5190124511719,0.541
136,1851.4846801757812,1851.4961242675781,0.838
137,1851.4732360839844,1851.4846801757812,0.543
138,1851.4617919921875,1851.4732360839844,0.809
139,1851.3816833496094,1851.3931274414062,0.631
140,1851.324462890625,1851.3359069824219,0.568
141,1851.1756896972656,1851.1871337890625,0.532
142,1851.0154724121094,1851.0269165039062,0.867
143,1850.9010314941406,1850.9124755859375,0.662
144,1850.8094787597656,1850.8209228515625,0.625
145,1850.7293701171875,1850.7408142089844,0.592
146,1850.6378173828125,1850.6492614746094,0.675
147,1850.6149291992188,1850.6263732910156,0.594
148,1850.5119323730469,1850.5233764648438,0.998
149,1850.3974914550781,1850.408935546875,0.614
150,1850.3631591796875,1850.3746032714844,0.549
151,1850.2830505371094,1850.2944946289062,0.59
152,1850.2372741699219,1850.2487182617188,0.677
153,1850.1571655273438,1850.1686096191406,0.52
154,1850.0885009765625,1850.0999450683594,0.591
155,1850.0770568847656,1850.0885009765625,0.66
156,1849.9282836914062,1849.9397277832031,0.987
157,1849.9053955078125,1849.9168395996094,0.652
158,1849.859619140625,1849.8710632324219,0.524
159,1849.76806640625,1849.7795104980469,0.503
160,1849.7566223144531,1849.76806640625,0.633
161,1849.6650695800781,1849.676513671875,0.969
162,1849.6078491210938,1849.6192932128906,0.509
163,1849.5964050292969,1849.6078491210938,0.548
164,1849.5391845703125,1849.5506286621094,0.602
165,1849.493408203125,1849.5048522949219,0.878
166,1849.4247436523438,1849.4361877441406,0.849
167,1849.3446350097656,1849.3560791015625,0.996
168,1849.2759704589844,1849.2874145507812,0.568
169,1849.1043090820312,1849.1157531738281,0.683
170,1849.0814208984375,1849.0928649902344,0.544
171,1849.03564453125,1849.0470886230469,0.51
172,1848.9212036132812,1848.9326477050781,0.991
173,1848.9097595214844,1848.9212036132812,0.515
174,1848.8983154296875,1848.9097595214844,0.512
175,1848.8868713378906,1848.8983154296875,0.533
176,1848.8639831542969,1848.8754272460938,0.504
177,1848.66943359375,1848.6808776855469,0.774
178,1848.4977722167969,1848.5092163085938,0.913
179,1848.486328125,1848.4977722167969,0.502
180,1848.4634399414062,1848.4748840332031,0.501
181,1848.3375549316406,1848.3489990234375,0.578
182,1848.3146667480469,1848.3261108398438,0.851
183,1848.30322265625,1848.3146667480469,0.587
184,1848.0972290039062,1848.1086730957031,0.521
185,1847.9713439941406,1847.9827880859375,0.502
186,1847.7996826171875,1847.8111267089844,0.529
187,1847.5593566894531,1847.57080078125,0.529
188,1847.5479125976562,1847.5593566894531,0.561
189,1847.3876953125,1847.3991394042969,0.567
190,1847.3533630371094,1847.3648071289062,0.578
191,1847.3419189453125,1847.3533630371094,0.676
192,1847.2846984863281,1847.296142578125,0.645
193,1847.2274780273438,1847.2389221191406,0.876
194,1847.113037109375,1847.1244812011719,0.709
195,1846.9985961914062,1847.0100402832031,0.648
196,1846.9757080078125,1846.9871520996094,0.666
197,1846.8955993652344,1846.9070434570312,0.851
198,1846.8612670898438,1846.8727111816406,0.609
199,1846.7697143554688,1846.7811584472656,0.992
200,1846.7353820800781,1846.746826171875,0.828
201,1846.7239379882812,1846.7353820800781,0.967
202,1846.5980529785156,1846.6094970703125,0.65
203,1846.5179443359375,1846.5293884277344,0.513
204,1846.4836120605469,1846.4950561523438,0.551
205,1846.3691711425781,1846.380615234375,0.566
206,1846.2776184082031,1846.2890625,0.536
207,1846.1174011230469,1846.1288452148438,0.642
208,1846.0601806640625,1846.0716247558594,0.648
209,1846.0258483886719,1846.0372924804688,0.56
210,1845.8198547363281,1845.831298828125,0.552
211,1845.7283020019531,1845.73974609375,0.567
212,1845.6367492675781,1845.648193359375,0.633
213,1845.6138610839844,1845.6253051757812,0.718
214,1845.4078674316406,1845.4193115234375,0.638
215,1845.3048706054688,1845.3163146972656,0.525
216,1845.2362060546875,1845.2476501464844,0.582
217,1845.1332092285156,1845.1446533203125,0.825
218,1845.0874328613281,1845.098876953125,0.665
219,1845.0759887695312,1845.0874328613281,0.563
220,1844.8471069335938,1844.8585510253906,0.577
221,1844.82421875,1844.8356628417969,0.539
222,1844.8127746582031,1844.82421875,0.715
223,1844.6525573730469,1844.6640014648438,0.633
224,1844.6067810058594,1844.6182250976562,0.594
225,1844.5838928222656,1844.5953369140625,0.646
226,1844.549560546875,1844.5610046386719,0.549
227,1844.5381164550781,1844.549560546875,0.877
228,1844.4808959960938,1844.4923400878906,0.526
229,1844.4007873535156,1844.4122314453125,0.505
230,1844.2520141601562,1844.2634582519531,0.561
231,1844.2062377929688,1844.2176818847656,0.784
232,1844.1490173339844,1844.1604614257812,0.504
233,1844.0574645996094,1844.0689086914062,0.581
234,1844.0116882324219,1844.0231323242188,0.862
235,1844.000244140625,1844.0116882324219,0.681
236,1843.9773559570312,1843.9888000488281,0.877
237,1843.9430236816406,1843.9544677734375,0.651
238,1843.9315795898438,1843.9430236816406,0.726
239,1843.817138671875,1843.8285827636719,0.588
240,1843.7255859375,1843.7370300292969,0.525
241,1843.6454772949219,1843.6569213867188,0.56
242,1843.5997009277344,1843.6111450195312,0.6
243,1843.5653686523438,1843.5768127441406,0.62
244,1843.5081481933594,1843.5195922851562,0.77
245,1843.4852600097656,1843.4967041015625,0.58
246,1843.450927734375,1843.4623718261719,0.62
247,1843.4394836425781,1843.450927734375,0.758
248,1843.3937072753906,1843.4051513671875,0.563
249,1843.3822631835938,1843.3937072753906,0.96
250,1843.3708190917969,1843.3822631835938,0.991
251,1843.359375,1843.3708190917969,0.636
252,1843.3479309082031,1843.359375,0.512
253,1843.2907104492188,1843.3021545410156,0.589
254,1843.2792663574219,1843.2907104492188,0.748
255,1843.1991577148438,1843.2106018066406,0.529
256,1843.1190490722656,1843.1304931640625,0.517
257,1842.9588317871094,1842.9702758789062,0.703
258,1842.9244995117188,1842.9359436035156,0.566
259,1842.901611328125,1842.9130554199219,0.972
260,1842.8215026855469,1842.8329467773438,0.698
261,1842.718505859375,1842.7299499511719,0.551
262,1842.7070617675781,1842.718505859375,0.775
263,1842.5582885742188,1842.5697326660156,0.524
264,1842.5468444824219,1842.5582885742188,0.773
265,1842.5125122070312,1842.5239562988281,0.629
266,1842.4781799316406,1842.4896240234375,0.679
267,1842.3065185546875,1842.3179626464844,0.654
268,1842.2836303710938,1842.2950744628906,0.533
269,1842.2149658203125,1842.2264099121094,0.532
270,1842.1577453613281,1842.169189453125,0.595
271,1842.1348571777344,1842.1463012695312,0.528
272,1842.1119689941406,1842.1234130859375,0.622
273,1842.07763671875,1842.0890808105469,0.501
274,1841.9059753417969,1841.9174194335938,0.549
275,1841.8601989746094,1841.8716430664062,1.0
276,1841.7800903320312,1841.7915344238281,0.791
277,1841.6313171386719,1841.6427612304688,0.509
278,1841.619873046875,1841.6313171386719,0.6
279,1841.5626525878906,1841.5740966796875,0.592
280,1841.4825439453125,1841.4939880371094,0.577
281,1841.3223266601562,1841.3337707519531,0.541
282,1841.1735534667969,1841.1849975585938,0.505
283,1841.1277770996094,1841.1392211914062,0.645
284,1841.070556640625,1841.0820007324219,0.594
285,1841.0591125488281,1841.070556640625,0.579
286,1841.0362243652344,1841.0476684570312,0.545
287,1841.0018920898438,1841.0133361816406,0.535
288,1840.9675598144531,1840.97900390625,0.637
289,1840.8988952636719,1840.9103393554688,0.533
290,1840.8073425292969,1840.8187866210938,0.674
291,1840.7272338867188,1840.7386779785156,0.547
292,1840.5784606933594,1840.5899047851562,0.705
293,1840.4983520507812,1840.5097961425781,0.73
294,1840.4182434082031,1840.4296875,0.576
295,1840.2351379394531,1840.24658203125,0.755
296,1840.1664733886719,1840.1779174804688,0.514
297,1839.9833679199219,1839.9948120117188,0.623
298,1839.8574829101562,1839.8689270019531,0.508
299,1839.8460388183594,1839.8574829101562,0.72
300,1839.8117065429688,1839.8231506347656,0.653
301,1839.7315979003906,1839.7430419921875,0.933
302,1839.697265625,1839.7087097167969,0.662
303,1839.6858215332031,1839.697265625,0.653
304,1839.6743774414062,1839.6858215332031,0.575
305,1839.605712890625,1839.6171569824219,0.503
306,1839.5484924316406,1839.5599365234375,0.557
307,1839.5256042480469,1839.5370483398438,0.526
308,1839.5027160644531,1839.51416015625,0.549
309,1839.4683837890625,1839.4798278808594,0.506
310,1839.2852783203125,1839.2967224121094,0.537
311,1839.1365051269531,1839.14794921875,0.538
312,1839.1136169433594,1839.1250610351562,0.61
313,1839.056396484375,1839.0678405761719,0.614
314,1839.0449523925781,1839.056396484375,0.953
