,start_freq,end_freq,probability
0,1874.7848510742188,1874.7962951660156,0.517
1,1874.7505187988281,1874.761962890625,0.67
2,1874.67041015625,1874.6818542480469,0.55
3,1874.6589660644531,1874.67041015625,0.695
4,1874.6475219726562,1874.6589660644531,0.534
5,1874.5445251464844,1874.5559692382812,0.532
6,1874.5330810546875,1874.5445251464844,0.522
7,1874.4415283203125,1874.4529724121094,0.647
8,1874.4186401367188,1874.4300842285156,0.751
9,1874.3270874023438,1874.3385314941406,0.541
10,1874.2698669433594,1874.2813110351562,0.558
11,1874.0524291992188,1874.0638732910156,0.614
12,1873.9723205566406,1873.9837646484375,0.536
13,1873.8807678222656,1873.8922119140625,0.631
14,1873.6976623535156,1873.7091064453125,0.539
15,1873.6518859863281,1873.663330078125,0.562
16,1873.5603332519531,1873.57177734375,0.515
17,1873.4230041503906,1873.4344482421875,0.624
18,1873.388671875,1873.4001159667969,0.531
19,1873.3200073242188,1873.3314514160156,0.556
20,1873.2742309570312,1873.2856750488281,0.522
21,1873.2398986816406,1873.2513427734375,0.517
22,1873.2284545898438,1873.2398986816406,0.768
23,1873.0682373046875,1873.0796813964844,0.959
24,1872.8622436523438,1872.8736877441406,0.543
25,1872.8050231933594,1872.8164672851562,0.793
26,1872.7706909179688,1872.7821350097656,0.708
27,1872.7592468261719,1872.7706909179688,0.609
28,1872.747802734375,1872.7592468261719,0.741
29,1872.7363586425781,1872.747802734375,0.509
30,1872.6448059082031,1872.65625,0.532
31,1872.6219177246094,1872.6333618164062,0.502
32,1872.3587036132812,1872.3701477050781,0.839
33,1872.2099304199219,1872.2213745117188,0.568
34,1872.1755981445312,1872.1870422363281,0.89
35,1872.0954895019531,1872.10693359375,0.592
36,1872.0611572265625,1872.0726013183594,0.672
37,1872.0268249511719,1872.0382690429688,0.546
38,1871.9924926757812,1872.0039367675781,0.954
39,1871.9810485839844,1871.9924926757812,0.65
40,1871.8093872070312,1871.8208312988281,0.641
41,1871.7636108398438,1871.7750549316406,0.634
42,1871.7178344726562,1871.7292785644531,0.623
43,1871.6720581054688,1871.6835021972656,0.59
44,1871.6377258300781,1871.649169921875,0.578
45,1871.5003967285156,1871.5118408203125,0.566
46,1871.4317321777344,1871.4431762695312,0.537
47,1871.3287353515625,1871.3401794433594,0.588
48,1871.2257385253906,1871.2371826171875,0.54
49,1871.2028503417969,1871.2142944335938,0.536
50,1871.1799621582031,1871.19140625,0.537
51,1871.1456298828125,1871.1570739746094,0.615
52,1871.1227416992188,1871.1341857910156,0.526
53,1871.1112976074219,1871.1227416992188,0.57
54,1871.0655212402344,1871.0769653320312,0.531
55,1870.8824157714844,1870.8938598632812,0.909
56,1870.8709716796875,1870.8824157714844,0.504
57,1870.8595275878906,1870.8709716796875,0.533
58,1870.8137512207031,1870.8251953125,0.562
59,1870.7221984863281,1870.733642578125,0.62
60,1870.6993103027344,1870.7107543945312,0.595
61,1870.367431640625,1870.3788757324219,0.741
62,1870.3445434570312,1870.3559875488281,0.611
63,1870.2529907226562,1870.2644348144531,0.712
64,1870.2415466308594,1870.2529907226562,0.593
65,1870.0584411621094,1870.0698852539062,0.635
66,1870.0469970703125,1870.0584411621094,0.675
67,1870.0126647949219,1870.0241088867188,0.594
68,1869.90966796875,1869.9211120605469,0.921
69,1869.8982238769531,1869.90966796875,0.507
70,1869.7151184082031,1869.7265625,0.525
71,1869.6807861328125,1869.6922302246094,0.711
72,1869.6464538574219,1869.6578979492188,0.576
73,1869.451904296875,1869.4633483886719,0.651
74,1869.3603515625,1869.3717956542969,0.642
75,1869.3489074707031,1869.3603515625,0.51
76,1869.3260192871094,1869.3374633789062,0.616
77,1869.2916870117188,1869.3031311035156,0.602
78,1869.2459106445312,1869.2573547363281,0.781
79,1869.2230224609375,1869.2344665527344,0.533
80,1869.1658020019531,1869.17724609375,0.53
81,1869.085693359375,1869.0971374511719,0.502
82,1869.0513610839844,1869.0628051757812,0.52
83,1868.9598083496094,1868.9712524414062,0.521
84,1868.8682556152344,1868.8796997070312,0.629
85,1868.7309265136719,1868.7423706054688,0.57
86,1868.719482421875,1868.7309265136719,0.719
87,1868.6965942382812,1868.7080383300781,0.574
88,1868.6737060546875,1868.6851501464844,0.518
89,1868.6508178710938,1868.6622619628906,0.511
90,1868.6393737792969,1868.6508178710938,0.801
91,1868.5592651367188,1868.5707092285156,0.583
92,1868.3761596679688,1868.3876037597656,0.599
93,1868.3418273925781,1868.353271484375,0.537
94,1868.26171875,1868.2731628417969,0.649
95,1868.2502746582031,1868.26171875,0.544
96,1868.1243896484375,1868.1358337402344,0.523
97,1867.9069519042969,1867.9183959960938,0.504
98,1867.7810668945312,1867.7925109863281,0.501
99,1867.7696228027344,1867.7810668945312,0.785
100,1867.7238464355469,1867.7352905273438,0.609
101,1867.620849609375,1867.6322937011719,0.635
