,start_freq,end_freq,probability
0,1860.4225158691406,1860.4339599609375,0.559
1,1860.1707458496094,1860.1821899414062,0.926
2,1860.1364135742188,1860.1478576660156,0.725
3,1860.1249694824219,1860.1364135742188,0.748
4,1859.9990844726562,1860.0105285644531,0.957
5,1859.9876403808594,1859.9990844726562,0.751
6,1859.9761962890625,1859.9876403808594,0.709
7,1859.9533081054688,1859.9647521972656,0.916
8,1859.9418640136719,1859.9533081054688,0.524
9,1859.8159790039062,1859.8274230957031,0.689
10,1859.6786499023438,1859.6900939941406,0.568
11,1859.564208984375,1859.5756530761719,0.755
12,1859.5298767089844,1859.5413208007812,0.748
13,1859.4841003417969,1859.4955444335938,0.51
14,1859.47265625,1859.4841003417969,0.503
15,1859.1865539550781,1859.197998046875,0.611
16,1858.9920043945312,1859.0034484863281,0.552
17,1858.9004516601562,1858.9118957519531,0.735
18,1858.7631225585938,1858.7745666503906,0.659
19,1858.740234375,1858.7516784667969,0.531
20,1858.5342407226562,1858.5456848144531,0.668
21,1858.4083557128906,1858.4197998046875,0.677
22,1858.1565856933594,1858.1680297851562,0.574
23,1858.1108093261719,1858.1222534179688,0.532
24,1858.099365234375,1858.1108093261719,0.804
25,1858.0307006835938,1858.0421447753906,0.502
26,1857.916259765625,1857.9277038574219,0.639
27,1857.8018188476562,1857.8132629394531,0.799
28,1857.7903747558594,1857.8018188476562,0.512
29,1857.6530456542969,1857.6644897460938,0.623
30,1857.5157165527344,1857.5271606445312,0.657
31,1857.45849609375,1857.4699401855469,0.59
32,1857.2982788085938,1857.3097229003906,0.862
33,1856.9892883300781,1857.000732421875,0.652
34,1856.72607421875,1856.7375183105469,0.682
35,1856.6001892089844,1856.6116333007812,0.826
36,1856.5315246582031,1856.54296875,1.0
37,1856.3713073730469,1856.3827514648438,0.537
38,1856.35986328125,1856.3713073730469,0.642
39,1856.3140869140625,1856.3255310058594,0.554
40,1856.0966491699219,1856.1080932617188,0.525
41,1855.7533264160156,1855.7647705078125,0.616
42,1855.62744140625,1855.6388854980469,0.793
43,1855.5130004882812,1855.5244445800781,0.572
44,1855.3184509277344,1855.3298950195312,0.742
45,1855.1353454589844,1855.1467895507812,0.596
46,1855.0666809082031,1855.078125,0.586
47,1854.9980163574219,1855.0094604492188,0.614
48,1854.986572265625,1854.9980163574219,0.546
49,1854.9636840820312,1854.9751281738281,0.6
50,1854.7805786132812,1854.7920227050781,0.769
51,1854.620361328125,1854.6318054199219,0.819
52,1854.5516967773438,1854.5631408691406,0.735
53,1854.52880859375,1854.5402526855469,0.611
54,1854.4944763183594,1854.5059204101562,0.787
55,1854.437255859375,1854.4486999511719,0.62
56,1854.4143676757812,1854.4258117675781,0.992
57,1854.3685913085938,1854.3800354003906,0.65
58,1854.3571472167969,1854.3685913085938,0.549
59,1854.2312622070312,1854.2427062988281,0.665
60,1854.1854858398438,1854.1969299316406,0.559
61,1854.0824890136719,1854.0939331054688,0.707
62,1853.9680480957031,1853.9794921875,0.579
63,1853.8307189941406,1853.8421630859375,0.748
64,1853.6590576171875,1853.6705017089844,0.571
65,1853.5903930664062,1853.6018371582031,0.517
66,1853.43017578125,1853.4416198730469,0.575
67,1853.3500671386719,1853.3615112304688,0.583
68,1853.1669616699219,1853.1784057617188,0.665
69,1853.1440734863281,1853.155517578125,0.76
70,1853.0868530273438,1853.0982971191406,0.558
71,1852.8350830078125,1852.8465270996094,0.56
72,1852.5489807128906,1852.5604248046875,0.818
73,1852.3086547851562,1852.3200988769531,0.593
74,1852.2056579589844,1852.2171020507812,0.817
75,1852.1598815917969,1852.1713256835938,0.548
76,1852.1141052246094,1852.1255493164062,0.514
77,1851.8966674804688,1851.9081115722656,0.795
78,1851.8051147460938,1851.8165588378906,0.527
79,1851.4503479003906,1851.4617919921875,0.587
80,1851.3931274414062,1851.4045715332031,0.554
81,1851.3702392578125,1851.3816833496094,0.664
82,1851.1985778808594,1851.2100219726562,0.52
83,1851.1756896972656,1851.1871337890625,0.526
84,1851.0726928710938,1851.0841369628906,0.51
85,1850.9468078613281,1850.958251953125,0.867
86,1850.7408142089844,1850.7522583007812,0.661
87,1850.6950378417969,1850.7064819335938,0.607
88,1850.4318237304688,1850.4432678222656,0.733
89,1850.4203796386719,1850.4318237304688,0.549
90,1850.3631591796875,1850.3746032714844,0.522
91,1850.3517150878906,1850.3631591796875,0.62
92,1850.3059387207031,1850.3173828125,0.505
93,1850.2830505371094,1850.2944946289062,0.505
94,1850.2601623535156,1850.2716064453125,0.518
95,1850.2029418945312,1850.2143859863281,0.725
96,1850.1571655273438,1850.1686096191406,0.507
97,1850.0999450683594,1850.1113891601562,0.599
98,1849.7566223144531,1849.76806640625,0.522
99,1849.6307373046875,1849.6421813964844,0.52
100,1849.6192932128906,1849.6307373046875,0.529
101,1849.5735168457031,1849.5849609375,0.681
102,1849.5620727539062,1849.5735168457031,0.64
103,1849.2073059082031,1849.21875,0.529
104,1849.1844177246094,1849.1958618164062,0.612
105,1849.0814208984375,1849.0928649902344,0.846
106,1849.0242004394531,1849.03564453125,0.654
107,1849.0127563476562,1849.0242004394531,0.583
108,1849.0013122558594,1849.0127563476562,0.532
109,1848.944091796875,1848.9555358886719,0.569
110,1848.8525390625,1848.8639831542969,0.577
111,1848.8067626953125,1848.8182067871094,0.603
112,1848.6808776855469,1848.6923217773438,0.543
113,1848.66943359375,1848.6808776855469,0.636
114,1848.6122131347656,1848.6236572265625,0.714
115,1848.5206604003906,1848.5321044921875,0.572
116,1848.4519958496094,1848.4634399414062,0.572
117,1848.4062194824219,1848.4176635742188,0.541
118,1848.211669921875,1848.2231140136719,0.552
119,1848.1201171875,1848.1315612792969,0.725
120,1847.7424621582031,1847.75390625,0.663
121,1847.4906921386719,1847.5021362304688,0.717
122,1846.9757080078125,1846.9871520996094,0.702
123,1846.7926025390625,1846.8040466308594,0.933
124,1846.7811584472656,1846.7926025390625,0.851
125,1846.7239379882812,1846.7353820800781,0.554
126,1846.4035034179688,1846.4149475097656,0.57
127,1846.2776184082031,1846.2890625,0.513
128,1846.2089538574219,1846.2203979492188,0.65
129,1846.1517333984375,1846.1631774902344,0.624
130,1845.9457397460938,1845.9571838378906,0.687
131,1845.8541870117188,1845.8656311035156,0.53
132,1845.7969665527344,1845.8084106445312,0.85
133,1845.6596374511719,1845.6710815429688,0.896
134,1845.465087890625,1845.4765319824219,0.528
135,1845.2018737792969,1845.2133178710938,0.53
136,1844.7784423828125,1844.7898864746094,0.69
137,1844.7669982910156,1844.7784423828125,0.699
138,1844.6983337402344,1844.7097778320312,0.502
139,1844.5152282714844,1844.5266723632812,0.588
140,1844.4923400878906,1844.5037841796875,0.608
141,1844.4694519042969,1844.4808959960938,0.671
