,start_freq,end_freq,probability
0,1860.6285095214844,1860.6399536132812,0.611
1,1860.5712890625,1860.5827331542969,0.594
2,1860.5369567871094,1860.5484008789062,0.604
3,1860.4682922363281,1860.479736328125,0.91
4,1860.4454040527344,1860.4568481445312,0.529
5,1860.1249694824219,1860.1364135742188,0.598
6,1860.0448608398438,1860.0563049316406,0.618
7,1860.02197265625,1860.0334167480469,0.717
8,1859.9990844726562,1860.0105285644531,0.624
9,1859.9876403808594,1859.9990844726562,0.502
10,1859.9533081054688,1859.9647521972656,0.547
11,1859.9189758300781,1859.930419921875,0.501
12,1859.9075317382812,1859.9189758300781,0.716
13,1859.8274230957031,1859.8388671875,0.526
14,1859.7930908203125,1859.8045349121094,0.923
15,1859.7244262695312,1859.7358703613281,0.56
16,1859.6672058105469,1859.6786499023438,0.568
17,1859.6443176269531,1859.65576171875,0.59
18,1859.5870971679688,1859.5985412597656,0.778
19,1859.4955444335938,1859.5069885253906,0.599
20,1859.3353271484375,1859.3467712402344,0.534
21,1859.3124389648438,1859.3238830566406,0.592
22,1859.28955078125,1859.3009948730469,0.791
23,1859.2781066894531,1859.28955078125,0.501
24,1859.2437744140625,1859.2552185058594,0.612
25,1859.1064453125,1859.1178894042969,0.503
26,1859.0263366699219,1859.0377807617188,0.528
27,1858.9805603027344,1858.9920043945312,0.524
28,1858.9691162109375,1858.9805603027344,0.731
29,1858.8546752929688,1858.8661193847656,0.604
30,1858.831787109375,1858.8432312011719,0.57
31,1858.6143493652344,1858.6257934570312,0.614
32,1858.5685729980469,1858.5800170898438,0.798
33,1858.4083557128906,1858.4197998046875,0.548
34,1858.3969116210938,1858.4083557128906,0.508
35,1858.1108093261719,1858.1222534179688,0.733
36,1858.0307006835938,1858.0421447753906,0.882
37,1857.8933715820312,1857.9048156738281,0.574
38,1857.8361511230469,1857.8475952148438,0.571
39,1857.7445983886719,1857.7560424804688,0.574
40,1857.7102661132812,1857.7217102050781,0.502
41,1857.6644897460938,1857.6759338378906,0.538
42,1857.6072692871094,1857.6187133789062,0.839
43,1857.4928283691406,1857.5042724609375,0.506
44,1857.4127197265625,1857.4241638183594,0.594
45,1857.4012756347656,1857.4127197265625,0.582
46,1857.3211669921875,1857.3326110839844,0.609
47,1857.2525024414062,1857.2639465332031,0.559
48,1857.2296142578125,1857.2410583496094,0.85
49,1857.183837890625,1857.1952819824219,0.639
50,1857.1266174316406,1857.1380615234375,0.503
51,1857.000732421875,1857.0121765136719,0.562
52,1856.9892883300781,1857.000732421875,0.588
53,1856.9778442382812,1856.9892883300781,0.546
54,1856.9435119628906,1856.9549560546875,0.693
55,1856.7489624023438,1856.7604064941406,0.567
56,1856.6116333007812,1856.6230773925781,0.64
57,1856.6001892089844,1856.6116333007812,0.598
58,1856.5658569335938,1856.5773010253906,0.525
59,1856.5544128417969,1856.5658569335938,0.504
60,1856.5200805664062,1856.5315246582031,0.564
61,1856.4285278320312,1856.4399719238281,0.591
62,1856.4056396484375,1856.4170837402344,0.698
63,1856.35986328125,1856.3713073730469,0.713
64,1856.3484191894531,1856.35986328125,0.639
65,1856.3026428222656,1856.3140869140625,0.574
66,1856.2568664550781,1856.268310546875,0.521
67,1856.1080932617188,1856.1195373535156,0.594
68,1856.0165405273438,1856.0279846191406,0.527
69,1856.0050964355469,1856.0165405273438,0.546
70,1855.9707641601562,1855.9822082519531,0.649
71,1855.8448791503906,1855.8563232421875,0.591
72,1855.8219909667969,1855.8334350585938,0.548
73,1855.7418823242188,1855.7533264160156,0.701
74,1855.6961059570312,1855.7075500488281,0.82
75,1855.6732177734375,1855.6846618652344,0.91
76,1855.5816650390625,1855.5931091308594,0.645
77,1855.5473327636719,1855.5587768554688,0.676
78,1855.3756713867188,1855.3871154785156,0.526
79,1855.3642272949219,1855.3756713867188,0.912
80,1855.3070068359375,1855.3184509277344,0.52
81,1855.2497863769531,1855.26123046875,0.567
82,1855.1353454589844,1855.1467895507812,0.766
83,1855.1124572753906,1855.1239013671875,0.611
84,1855.078125,1855.0895690917969,0.638
85,1855.0666809082031,1855.078125,0.537
86,1855.0209045410156,1855.0323486328125,0.626
87,1854.89501953125,1854.9064636230469,0.651
88,1854.8835754394531,1854.89501953125,0.566
89,1854.8721313476562,1854.8835754394531,0.759
90,1854.8606872558594,1854.8721313476562,0.504
