,start_freq,end_freq,probability,index
0,1856.3255310058594,1856.3369750976562,0.556,2316.0
1,1845.2362060546875,1845.2476501464844,0.623,8130.0
2,1842.3408508300781,1842.352294921875,0.684,9648.0
3,1837.5228881835938,1837.5343322753906,0.627,12174.0
4,1837.5114440917969,1837.5228881835938,0.815,12180.0
5,1831.2400817871094,1831.2515258789062,0.52,15468.0
6,1828.8368225097656,1828.8482666015625,0.511,16728.0
7,1826.1817932128906,1826.1932373046875,0.503,18120.0
8,1824.7055053710938,1824.7169494628906,0.642,18894.0
9,1824.3049621582031,1824.31640625,0.681,19104.0
10,1819.8989868164062,1819.9104309082031,0.552,21414.0
11,1815.1039123535156,1815.1153564453125,0.504,23928.0
12,1808.3633422851562,1808.3747863769531,0.504,27462.0
13,1807.6652526855469,1807.6766967773438,0.518,27828.0
14,1807.5164794921875,1807.5279235839844,0.532,27906.0
15,1923.4565734863281,1923.468017578125,0.722,48.0
16,1923.3879089355469,1923.3993530273438,0.71,84.0
17,1923.3421325683594,1923.3535766601562,0.633,108.0
18,1923.3306884765625,1923.3421325683594,0.6,114.0
19,1923.3192443847656,1923.3306884765625,0.644,120.0
20,1923.3078002929688,1923.3192443847656,0.556,126.0
21,1923.2048034667969,1923.2162475585938,0.583,180.0
22,1922.9415893554688,1922.9530334472656,0.645,318.0
23,1922.735595703125,1922.7470397949219,0.652,426.0
24,1922.7241516113281,1922.735595703125,0.652,432.0
25,1922.1176147460938,1922.1290588378906,0.513,750.0
26,1921.8887329101562,1921.9001770019531,0.662,870.0
27,1921.8429565429688,1921.8544006347656,0.655,894.0
28,1921.8315124511719,1921.8429565429688,0.642,900.0
29,1921.7742919921875,1921.7857360839844,0.526,930.0
30,1921.728515625,1921.7399597167969,0.773,954.0
31,1921.7170715332031,1921.728515625,0.564,960.0
32,1921.6827392578125,1921.6941833496094,0.722,978.0
33,1921.6598510742188,1921.6712951660156,0.666,990.0
34,1921.6484069824219,1921.6598510742188,0.716,996.0
35,1921.5797424316406,1921.5911865234375,0.608,1032.0
36,1921.5682983398438,1921.5797424316406,0.645,1038.0
37,1921.5339660644531,1921.54541015625,0.715,1056.0
38,1921.4767456054688,1921.4881896972656,0.501,1086.0
39,1921.4424133300781,1921.453857421875,0.516,1104.0
40,1921.4309692382812,1921.4424133300781,0.543,1110.0
41,1921.3851928710938,1921.3966369628906,0.753,1134.0
42,1921.3737487792969,1921.3851928710938,0.708,1140.0
43,1921.3623046875,1921.3737487792969,0.759,1146.0
44,1921.3165283203125,1921.3279724121094,0.521,1170.0
45,1921.1563110351562,1921.1677551269531,0.756,1254.0
46,1921.1219787597656,1921.1334228515625,0.523,1272.0
47,1921.1105346679688,1921.1219787597656,0.511,1278.0
48,1921.0647583007812,1921.0762023925781,0.853,1302.0
49,1920.9617614746094,1920.9732055664062,0.662,1356.0
50,1920.9503173828125,1920.9617614746094,0.719,1362.0
51,1920.9388732910156,1920.9503173828125,0.588,1368.0
52,1918.2266235351562,1918.2380676269531,0.617,2790.0
53,1918.1465148925781,1918.157958984375,0.61,2832.0
54,1910.3530883789062,1910.3645324707031,0.677,6918.0
55,1905.8441162109375,1905.8555603027344,0.672,9282.0
56,1905.6610107421875,1905.6724548339844,0.655,9378.0
57,1905.06591796875,1905.0773620605469,0.816,9690.0
58,1904.7111511230469,1904.7225952148438,0.658,9876.0
59,1900.7858276367188,1900.7972717285156,0.524,11934.0
60,1899.9961853027344,1900.0076293945312,0.811,12348.0
61,1897.6730346679688,1897.6844787597656,0.589,13566.0
62,1896.5171813964844,1896.5286254882812,0.544,14172.0
63,1891.3101196289062,1891.3215637207031,0.541,16902.0
64,1888.0142211914062,1888.0256652832031,0.575,18630.0
65,1885.4736328125,1885.4850769042969,0.511,19962.0
66,1884.6611022949219,1884.6725463867188,0.652,20388.0
67,1870.2644348144531,1870.27587890625,0.527,27936.0
68,1868.5020446777344,1868.5134887695312,0.503,28860.0
69,1866.4077758789062,1866.4192199707031,0.703,29958.0
70,1865.5723571777344,1865.5838012695312,0.675,30396.0
71,1864.7026062011719,1864.7140502929688,0.656,30852.0
72,1861.578369140625,1861.5898132324219,0.522,32490.0
73,1985.0028991699219,1985.0143432617188,0.576,708.0
74,1983.4007263183594,1983.4121704101562,0.608,1548.0
75,1974.3255615234375,1974.3370056152344,0.643,6306.0
76,1970.6634521484375,1970.6748962402344,0.592,8226.0
77,1968.7980651855469,1968.8095092773438,0.511,9204.0
78,1965.9942626953125,1966.0057067871094,0.554,10674.0
79,1964.6324157714844,1964.6438598632812,0.553,11388.0
