,start_freq,end_freq,probability,index
0,1090.0179633300297,1090.0295775520317,0.507,24120.0
1,1090.0063491080277,1090.0179633300297,0.544,24126.0
2,1244.4711464011398,1244.4827606231418,0.612,2598.0
3,1244.331775737116,1244.343389959118,0.512,2670.0
4,1244.2272477390982,1244.2388619611002,0.525,2724.0
5,1244.1691766290883,1244.1807908510903,0.538,2754.0
6,1228.025408046333,1228.037022268335,0.523,11094.0
7,1227.8163520502974,1227.8279662722994,0.534,11202.0
8,1227.8047378282954,1227.8163520502974,0.519,11208.0
9,1227.7118240522796,1227.7234382742815,0.648,11256.0
10,1227.6653671642716,1227.6769813862736,0.54,11280.0
11,1227.5608391662538,1227.5724533882558,0.558,11334.0
12,1227.5259965002479,1227.5376107222498,0.589,11352.0
13,1307.4971738726463,1307.5087880946483,0.567,28308.0
14,1409.1658956113727,1409.1775098333746,0.584,4920.0
15,1403.2426423903617,1403.2542566123636,0.503,7980.0
16,1363.278104481541,1363.289718703543,0.645,28626.0
17,1362.3838093873885,1362.3954236093905,0.585,29088.0
18,1469.0350323649652,1469.0466465869672,0.583,3126.0
19,1466.4799035245292,1466.4915177465311,0.709,4446.0
20,1463.0769364779485,1463.0885506999505,0.567,6204.0
21,1462.2871693818138,1462.2987836038158,0.517,6612.0
22,1455.620605952676,1455.632220174678,0.837,10056.0
23,1444.6800088268087,1444.6916230488107,0.557,15708.0
24,1531.1340997429386,1531.1457139649406,0.519,180.0
25,1531.0992570769326,1531.1108712989346,0.539,198.0
26,1530.3559468688059,1530.3675610908078,0.514,582.0
27,1530.3443326468039,1530.3559468688059,0.639,588.0
28,1530.2281904267838,1530.2398046487858,0.719,648.0
29,1529.3571237766353,1529.3687379986372,0.534,1098.0
30,1529.3455095546333,1529.3571237766353,0.591,1104.0
31,1529.3222811106293,1529.3338953326313,0.538,1116.0
32,1529.3106668886273,1529.3222811106293,0.698,1122.0
33,1529.2990526666254,1529.3106668886273,0.658,1128.0
34,1529.2642100006194,1529.2758242226214,0.552,1146.0
35,1529.2525957786174,1529.2642100006194,0.714,1152.0
36,1529.2409815566155,1529.2525957786174,0.659,1158.0
37,1529.2293673346135,1529.2409815566155,0.633,1164.0
38,1527.9401886923933,1527.9518029143953,0.58,1830.0
39,1527.9285744703914,1527.9401886923933,0.621,1836.0
40,1527.533690922324,1527.545305144326,0.533,2040.0
41,1527.4523913683101,1527.4640055903121,0.674,2082.0
42,1527.2897922602824,1527.3014064822844,0.53,2166.0
43,1527.2781780382804,1527.2897922602824,0.62,2172.0
44,1527.2433353722745,1527.2549495942765,0.738,2190.0
45,1527.2084927062685,1527.2201069282705,0.548,2208.0
46,1526.929751378221,1526.941365600223,0.529,2352.0
47,1526.871680268211,1526.883294490213,0.668,2382.0
48,1526.7787664921952,1526.7903807141972,0.7,2430.0
49,1526.7671522701933,1526.7787664921952,0.725,2436.0
50,1526.7555380481913,1526.7671522701933,0.711,2442.0
51,1526.7323096041873,1526.7439238261893,0.519,2454.0
52,1526.6974669381814,1526.7090811601834,0.653,2472.0
53,1526.6858527161794,1526.6974669381814,0.523,2478.0
54,1526.6510100501735,1526.6626242721754,0.822,2496.0
55,1526.6393958281715,1526.6510100501735,0.692,2502.0
56,1526.6277816061695,1526.6393958281715,0.587,2508.0
57,1524.99017630389,1525.001790525892,0.603,3354.0
58,1513.3991827459117,1513.4107969679137,0.537,9342.0
59,1511.7151205556245,1511.7267347776265,0.55,10212.0
60,1508.9509357191525,1508.9625499411545,0.526,11640.0
61,1503.3761091582012,1503.3877233802032,0.768,14520.0
62,1498.4981359173687,1498.5097501393707,0.553,17040.0
63,1497.638683489222,1497.650297711224,0.62,17484.0
64,1576.0208901139742,1576.0325043359762,0.51,6126.0
65,1575.9279763379584,1575.9395905599604,0.537,6174.0
66,1575.8815194499505,1575.8931336719525,0.51,6198.0
67,1575.2543514618435,1575.2659656838455,0.58,6522.0
68,1574.3948990336967,1574.4065132556987,0.534,6966.0
69,1574.3832848116947,1574.3948990336967,0.515,6972.0
70,1568.460031590684,1568.471645812686,0.549,10032.0
71,1567.3799089444994,1567.3915231665014,0.607,10590.0
72,1563.4775303518336,1563.4891445738356,0.541,12606.0
73,1557.925932234886,1557.937546456888,0.59,15474.0
74,1556.5902967046582,1556.6019109266601,0.513,16164.0
75,1547.51958932111,1547.531203543112,0.579,20850.0
76,1547.496360877106,1547.507975099108,0.589,20862.0
77,1547.4847466551041,1547.496360877106,0.551,20868.0
78,1547.4731324331021,1547.4847466551041,0.562,20874.0
79,1547.4499039890982,1547.4615182111002,0.587,20886.0
80,1547.1479342170467,1547.1595484390486,0.64,21042.0
81,1547.1363199950447,1547.1479342170467,0.613,21048.0
82,1547.1130915510407,1547.1247057730427,0.664,21060.0
83,1547.0782488850348,1547.0898631070368,0.532,21078.0
84,1547.0666346630328,1547.0782488850348,0.67,21084.0
85,1547.0550204410308,1547.0666346630328,0.578,21090.0
86,1547.0434062190288,1547.0550204410308,0.679,21096.0
87,1547.0317919970269,1547.0434062190288,0.563,21102.0
88,1546.950492443013,1546.962106665015,0.523,21144.0
89,1546.927263999009,1546.9388782210108,0.693,21156.0
90,1546.880807111001,1546.8924213330029,0.526,21180.0
91,1542.177047200198,1542.1886614222003,0.553,23610.0
92,1540.6555841179386,1540.6671983399406,0.525,24396.0
