,start_freq,end_freq,probability,index
0,1073.3757019042969,1073.3871459960938,0.531,3636.0
1,1071.4187622070312,1071.4302062988281,0.66,4662.0
2,1070.2285766601562,1070.2400207519531,0.541,5286.0
3,1064.2662048339844,1064.2776489257812,0.569,8412.0
4,1062.7555847167969,1062.7670288085938,0.569,9204.0
5,1062.0346069335938,1062.0460510253906,0.716,9582.0
6,1061.8057250976562,1061.8171691894531,0.754,9702.0
7,1060.2951049804688,1060.3065490722656,0.782,10494.0
8,1058.0635070800781,1058.074951171875,0.698,11664.0
9,1055.0765991210938,1055.0880432128906,0.566,13230.0
10,1054.8820495605469,1054.8934936523438,0.692,13332.0
11,1053.40576171875,1053.4172058105469,0.54,14106.0
12,1052.7420043945312,1052.7534484863281,0.58,14454.0
13,1050.3044128417969,1050.3158569335938,0.534,15732.0
14,1048.0384826660156,1048.0499267578125,0.738,16920.0
15,1043.975830078125,1043.9872741699219,0.792,19050.0
16,1039.6614074707031,1039.6728515625,0.562,21312.0
17,1037.4984741210938,1037.5099182128906,0.536,22446.0
18,1032.6690673828125,1032.6805114746094,0.607,24978.0
19,1027.1759033203125,1027.1873474121094,0.507,27858.0
20,1025.848388671875,1025.8598327636719,0.529,28554.0
21,1136.627197265625,1136.6386413574219,0.841,42.0
22,1136.1579895019531,1136.16943359375,0.511,288.0
23,1134.8762512207031,1134.8876953125,0.575,960.0
24,1133.9607238769531,1133.97216796875,0.511,1440.0
25,1133.697509765625,1133.7089538574219,0.533,1578.0
26,1131.0768127441406,1131.0882568359375,0.556,2952.0
27,1128.0670166015625,1128.0784606933594,0.605,4530.0
28,1127.9754638671875,1127.9869079589844,0.71,4578.0
29,1123.7068176269531,1123.71826171875,0.548,6816.0
30,1115.6959533691406,1115.7073974609375,0.804,11016.0
31,1113.5101318359375,1113.5215759277344,0.654,12162.0
32,1107.7766418457031,1107.7880859375,0.664,15168.0
33,1101.6197204589844,1101.6311645507812,0.597,18396.0
34,1099.5941162109375,1099.6055603027344,0.686,19458.0
35,1097.6943969726562,1097.7058410644531,0.799,20454.0
36,1096.1036682128906,1096.1151123046875,0.578,21288.0
37,1095.88623046875,1095.8976745605469,0.662,21402.0
38,1095.7603454589844,1095.7717895507812,0.674,21468.0
39,1093.7118530273438,1093.7232971191406,0.505,22542.0
40,1093.2197570800781,1093.231201171875,0.651,22800.0
41,1090.6105041503906,1090.6219482421875,0.592,24168.0
42,1089.3745422363281,1089.385986328125,0.549,24816.0
43,1088.0012512207031,1088.0126953125,0.501,25536.0
44,1080.8830261230469,1080.8944702148438,0.554,29268.0
45,1192.6460266113281,1192.657470703125,0.704,240.0
46,1190.6890869140625,1190.7005310058594,0.77,1266.0
47,1190.1741027832031,1190.185546875,0.553,1536.0
48,1189.5332336425781,1189.544677734375,0.55,1872.0
49,1184.9899291992188,1185.0013732910156,0.702,4254.0
50,1184.7152709960938,1184.7267150878906,0.629,4398.0
51,1181.1904907226562,1181.2019348144531,0.681,6246.0
52,1181.1103820800781,1181.121826171875,0.503,6288.0
53,1181.0073852539062,1181.0188293457031,0.711,6342.0
54,1180.9844970703125,1180.9959411621094,0.71,6354.0
55,1180.2635192871094,1180.2749633789062,0.663,6732.0
56,1180.1261901855469,1180.1376342773438,0.703,6804.0
57,1179.9774169921875,1179.9888610839844,0.545,6882.0
58,1179.74853515625,1179.7599792480469,0.667,7002.0
59,1179.7142028808594,1179.7256469726562,0.518,7020.0
60,1179.6684265136719,1179.6798706054688,0.599,7044.0
61,1179.5654296875,1179.5768737792969,0.661,7098.0
62,1179.2564392089844,1179.2678833007812,0.518,7260.0
63,1179.1763305664062,1179.1877746582031,0.693,7302.0
64,1179.0962219238281,1179.107666015625,0.508,7344.0
65,1178.9703369140625,1178.9817810058594,0.568,7410.0
66,1178.8673400878906,1178.8787841796875,0.628,7464.0
67,1178.7071228027344,1178.7185668945312,0.602,7548.0
68,1178.5354614257812,1178.5469055175781,0.503,7638.0
69,1178.2951354980469,1178.3065795898438,0.534,7764.0
70,1177.9632568359375,1177.9747009277344,0.54,7938.0
71,1177.91748046875,1177.9289245605469,0.525,7962.0
72,1177.5741577148438,1177.5856018066406,0.542,8142.0
73,1177.3109436035156,1177.3223876953125,0.742,8280.0
74,1176.8760681152344,1176.8875122070312,0.716,8508.0
75,1176.7845153808594,1176.7959594726562,0.689,8556.0
76,1175.4570007324219,1175.4684448242188,0.551,9252.0
77,1174.3583679199219,1174.3698120117188,0.667,9828.0
78,1174.25537109375,1174.2668151855469,0.676,9882.0
79,1174.2210388183594,1174.2324829101562,0.745,9900.0
80,1174.0951538085938,1174.1065979003906,0.569,9966.0
81,1173.9120483398438,1173.9234924316406,0.501,10062.0
82,1173.4199523925781,1173.431396484375,0.718,10320.0
83,1173.248291015625,1173.2597351074219,0.629,10410.0
84,1172.9507446289062,1172.9621887207031,0.619,10566.0
85,1172.4014282226562,1172.4128723144531,0.749,10854.0
86,1171.7948913574219,1171.8063354492188,0.57,11172.0
87,1170.7534790039062,1170.7649230957031,0.577,11718.0
88,1169.952392578125,1169.9638366699219,0.547,12138.0
89,1169.3458557128906,1169.3572998046875,0.64,12456.0
90,1168.8194274902344,1168.8308715820312,0.95,12732.0
91,1166.7823791503906,1166.7938232421875,0.637,13800.0
92,1165.1344299316406,1165.1458740234375,0.547,14664.0
93,1162.9600524902344,1162.9714965820312,0.701,15804.0
94,1156.0478210449219,1156.0592651367188,0.549,19428.0
95,1155.9562683105469,1155.9677124023438,0.605,19476.0
96,1152.2254943847656,1152.2369384765625,0.578,21432.0
97,1152.0309448242188,1152.0423889160156,0.61,21534.0
98,1151.1268615722656,1151.1383056640625,0.598,22008.0
99,1150.634765625,1150.6462097167969,0.837,22266.0
100,1149.3988037109375,1149.4102478027344,0.543,22914.0
101,1147.705078125,1147.7165222167969,0.689,23802.0
102,1147.613525390625,1147.6249694824219,0.604,23850.0
103,1147.5677490234375,1147.5791931152344,0.715,23874.0
104,1145.9999084472656,1146.0113525390625,0.655,24696.0
105,1143.6996459960938,1143.7110900878906,0.7,25902.0
106,1142.6239013671875,1142.6353454589844,0.665,26466.0
107,1142.2920227050781,1142.303466796875,0.555,26640.0
108,1142.0745849609375,1142.0860290527344,0.732,26754.0
109,1139.7514343261719,1139.7628784179688,0.643,27972.0
110,1139.1563415527344,1139.1677856445312,0.749,28284.0
111,1138.9961242675781,1139.007568359375,0.507,28368.0
112,1246.2387084960938,1246.2501525878906,0.534,1710.0
113,1246.1700439453125,1246.1814880371094,0.611,1746.0
114,1246.1471557617188,1246.1585998535156,0.595,1758.0
115,1246.1357116699219,1246.1471557617188,0.722,1764.0
116,1246.124267578125,1246.1357116699219,0.831,1770.0
117,1246.1128234863281,1246.124267578125,0.56,1776.0
118,1246.1013793945312,1246.1128234863281,0.628,1782.0
119,1246.0899353027344,1246.1013793945312,0.573,1788.0
120,1246.0784912109375,1246.0899353027344,0.639,1794.0
121,1246.0670471191406,1246.0784912109375,0.629,1800.0
122,1246.0556030273438,1246.0670471191406,0.559,1806.0
123,1246.0441589355469,1246.0556030273438,0.609,1812.0
124,1246.03271484375,1246.0441589355469,0.633,1818.0
125,1246.0212707519531,1246.03271484375,0.603,1824.0
126,1246.0098266601562,1246.0212707519531,0.894,1830.0
127,1245.9869384765625,1245.9983825683594,0.919,1842.0
128,1245.9754943847656,1245.9869384765625,0.707,1848.0
129,1245.9640502929688,1245.9754943847656,0.65,1854.0
130,1245.9526062011719,1245.9640502929688,0.981,1860.0
131,1245.941162109375,1245.9526062011719,0.977,1866.0
132,1245.9297180175781,1245.941162109375,0.597,1872.0
