,start_freq,end_freq,probability,index
0,1077.8600505605798,1077.8716647825818,0.574,1266.0
1,1059.9276917895193,1059.9393060115212,0.724,10530.0
2,1054.5503070026016,1054.5619212246036,0.539,13308.0
3,1054.0160527905105,1054.0276670125124,0.595,13584.0
4,1053.7605399064669,1053.7721541284689,0.569,13716.0
5,1045.5028280630574,1045.5144422850594,0.584,17982.0
6,1039.428589956021,1039.440204178023,0.511,21120.0
7,1038.3833099758424,1038.3949241978444,0.528,21660.0
8,1031.2986345546333,1031.3102487766353,0.546,25320.0
9,1029.9862274684092,1029.9978416904114,0.684,25998.0
10,1025.9793208777255,1025.9909350997275,0.508,28068.0
11,1024.283644465436,1024.295258687438,0.568,28944.0
12,1135.6153989098118,1135.6270131318138,0.527,564.0
13,1130.2496283448959,1130.2612425668979,0.574,3336.0
14,1130.0405723488602,1130.0521865708622,0.587,3444.0
15,1129.9941154608523,1130.0057296828543,0.871,3468.0
16,1128.995292368682,1129.006906590684,0.814,3984.0
17,1128.0196977205153,1128.0313119425173,0.763,4488.0
18,1125.603939544103,1125.615553766105,0.606,5736.0
19,1125.2206702180376,1125.2322844400396,0.504,5934.0
20,1122.0035307234887,1122.0151449454906,0.642,7596.0
21,1121.5389618434094,1121.5505760654114,0.607,7836.0
22,1118.6237921209117,1118.6354063429137,0.671,9342.0
23,1117.3810703666998,1117.3926845887017,0.697,9984.0
24,1115.6273228444004,1115.6389370664024,0.642,10890.0
25,1114.3497584241823,1114.3613726461842,0.546,11550.0
26,1114.0826313181367,1114.0942455401387,0.692,11688.0
27,1110.8654918235877,1110.8771060455897,0.659,13350.0
28,1109.29757185332,1109.309186075322,0.625,14160.0
29,1097.9853196233894,1097.9969338453914,0.553,20004.0
30,1094.8959365708622,1094.9075507928642,0.657,21600.0
31,1093.746128592666,1093.757742814668,0.604,22194.0
32,1093.2583312685827,1093.2699454905846,0.552,22446.0
33,1093.1538032705648,1093.1654174925668,0.792,22500.0
34,1092.8053766105054,1092.8169908325074,0.572,22680.0
35,1091.9459241823588,1091.9575384043608,0.801,23124.0
36,1091.5394264122895,1091.5510406342914,0.537,23334.0
37,1091.4581268582756,1091.4697410802776,0.658,23376.0
38,1091.4465126362736,1091.4581268582756,0.531,23382.0
39,1091.4348984142716,1091.4465126362736,0.698,23388.0
40,1091.3884415262637,1091.4000557482657,0.594,23412.0
41,1091.3652130822597,1091.3768273042617,0.792,23424.0
42,1091.3535988602578,1091.3652130822597,0.674,23430.0
43,1091.237456640238,1091.24907086224,0.699,23490.0
44,1091.19099975223,1091.202613974232,0.713,23514.0
45,1091.167771308226,1091.179385530228,0.688,23526.0
46,1091.144542864222,1091.156157086224,0.622,23538.0
47,1091.0864717542122,1091.0980859762142,0.627,23568.0
48,1090.9935579781961,1091.005172200198,0.835,23616.0
49,1090.459303766105,1090.470917988107,0.756,23892.0
50,1090.0876486620416,1090.0992628840436,0.782,24084.0
51,1090.0295775520317,1090.0411917740337,0.51,24114.0
52,1089.9947348860258,1090.0063491080277,0.568,24132.0
53,1089.9715064420218,1089.9831206640238,0.544,24144.0
54,1089.3559526759168,1089.3675668979188,0.658,24462.0
55,1089.0655971258673,1089.0772113478693,0.582,24612.0
56,1088.8449269078296,1088.8565411298316,0.817,24726.0
57,1088.6590993557977,1088.6707135777997,0.93,24822.0
58,1088.5777998017838,1088.5894140237858,0.834,24864.0
59,1088.5661855797819,1088.5777998017838,0.572,24870.0
60,1088.531342913776,1088.542957135778,0.791,24888.0
61,1088.450043359762,1088.461657581764,0.548,24930.0
