,start_freq,end_freq,probability,index
0,1078.5452896586967,1078.5569038806987,0.544,912.0
1,1075.6185057141972,1075.6301199361992,0.561,2424.0
2,1072.9588488757433,1072.9704630977453,0.85,3798.0
3,1069.939151155228,1069.95076537723,0.747,5358.0
4,1069.1377698370911,1069.149384059093,0.504,5772.0
5,1067.6279209768336,1067.6395351988356,0.754,6552.0
6,1066.3038996686075,1066.3155138906095,0.77,7236.0
7,1063.6442428301536,1063.6558570521556,0.502,8610.0
8,1060.2761184495787,1060.2877326715807,0.546,10350.0
9,1060.1715904515609,1060.1832046735628,0.587,10404.0
10,1058.4642998172696,1058.4759140392716,0.616,11286.0
11,1056.0253131968534,1056.0369274188554,0.636,12546.0
12,1052.6804172602824,1052.6920314822844,0.505,14274.0
13,1051.3447817300546,1051.3563959520566,0.558,14964.0
14,1050.7640706299553,1050.7756848519573,0.606,15264.0
15,1050.334344415882,1050.345958637884,0.601,15486.0
16,1049.8813897578048,1049.8930039798067,0.604,15720.0
17,1048.1973275675173,1048.2089417895193,0.609,16590.0
18,1046.8384635932855,1046.8500778152875,0.53,17292.0
19,1046.2925951591922,1046.3042093811941,0.669,17574.0
20,1045.6073560610753,1045.6189702830773,0.733,17928.0
21,1042.5063587865461,1042.517973008548,0.51,19530.0
22,1040.8919819282705,1040.9035961502725,0.68,20364.0
23,1037.6283855457136,1037.6399997677156,0.611,22050.0
24,1037.1057455556245,1037.1173597776265,0.622,22320.0
25,1032.4019856448217,1032.4135998668237,0.79,24750.0
26,1032.1813154267838,1032.1929296487858,0.528,24864.0
27,1030.822451452552,1030.834065674554,0.591,25566.0
28,1030.7179234545342,1030.7295376765362,0.71,25620.0
29,1029.6610292523537,1029.6726434743557,0.605,26166.0
30,1029.52165858833,1029.533272810332,0.705,26238.0
31,1028.278936834118,1028.29055105612,0.789,26880.0
32,1028.244094168112,1028.255708390114,0.52,26898.0
33,1025.8980213237116,1025.9096355457136,0.51,28110.0
34,1025.4915235536423,1025.5031377756443,0.558,28320.0
35,1025.3986097776265,1025.4102239996284,0.862,28368.0
36,1024.260416021432,1024.272030243434,0.558,28956.0
37,1136.3703233399406,1136.3819375619426,0.65,174.0
38,1132.6421580773042,1132.6537722993062,0.596,2100.0
39,1131.527192765114,1131.538806987116,0.512,2676.0
40,1131.4110505450942,1131.4226647670962,0.504,2736.0
41,1131.1323092170467,1131.1439234390486,0.608,2880.0
42,1131.0161669970269,1131.0277812190288,0.884,2940.0
43,1129.564389246779,1129.576003468781,0.775,3690.0
44,1128.6236372646185,1128.6352514866205,0.74,4176.0
45,1126.312407086224,1126.324021308226,0.66,5370.0
46,1125.3948835480674,1125.4064977700693,0.808,5844.0
47,1122.6539271555996,1122.6655413776016,0.556,7260.0
48,1118.6818632309216,1118.6934774529236,0.72,9312.0
49,1116.1964197224975,1116.2080339444994,0.782,10596.0
50,1114.0826313181367,1114.0942455401387,0.515,11688.0
51,1113.3973922200198,1113.4090064420218,0.68,12042.0
52,1113.269635777998,1113.28125,0.506,12108.0
53,1112.9908944499505,1113.0025086719525,0.654,12252.0
