,start_freq,end_freq,probability,index
0,1077.9190063476562,1077.9304504394531,0.735,1254.0
1,1077.8846740722656,1077.8961181640625,0.572,1272.0
2,1077.2438049316406,1077.2552490234375,0.685,1608.0
3,1074.8748779296875,1074.8863220214844,0.53,2850.0
4,1073.8334655761719,1073.8449096679688,0.635,3396.0
5,1072.8378295898438,1072.8492736816406,0.522,3918.0
6,1072.0024108886719,1072.0138549804688,0.706,4356.0
7,1071.990966796875,1072.0024108886719,0.754,4362.0
8,1071.8994140625,1071.9108581542969,0.55,4410.0
9,1071.258544921875,1071.2699890136719,0.556,4746.0
10,1071.2356567382812,1071.2471008300781,0.627,4758.0
11,1069.061279296875,1069.0727233886719,0.689,5898.0
12,1066.9898986816406,1067.0013427734375,0.843,6984.0
13,1066.8067932128906,1066.8182373046875,0.558,7080.0
14,1066.3490295410156,1066.3604736328125,0.583,7320.0
15,1063.5452270507812,1063.5566711425781,0.527,8790.0
16,1063.2133483886719,1063.2247924804688,0.633,8964.0
17,1062.9615783691406,1062.9730224609375,0.541,9096.0
18,1062.7784729003906,1062.7899169921875,0.506,9192.0
19,1062.7555847167969,1062.7670288085938,0.527,9204.0
20,1062.6869201660156,1062.6983642578125,0.684,9240.0
21,1062.1719360351562,1062.1833801269531,0.531,9510.0
22,1061.9316101074219,1061.9430541992188,0.608,9636.0
23,1061.8743896484375,1061.8858337402344,0.769,9666.0
24,1061.8515014648438,1061.8629455566406,0.534,9678.0
25,1058.4754943847656,1058.4869384765625,0.556,11448.0
26,1057.2853088378906,1057.2967529296875,0.501,12072.0
27,1055.9806823730469,1055.9921264648438,0.845,12756.0
28,1055.9005737304688,1055.9120178222656,0.603,12798.0
29,1052.6046752929688,1052.6161193847656,0.551,14526.0
30,1050.018310546875,1050.0297546386719,0.519,15882.0
31,1048.9768981933594,1048.9883422851562,0.579,16428.0
32,1047.4205017089844,1047.4319458007812,0.503,17244.0
33,1047.36328125,1047.3747253417969,0.685,17274.0
34,1043.0145263671875,1043.0259704589844,0.512,19554.0
35,1041.9158935546875,1041.9273376464844,0.502,20130.0
36,1040.1420593261719,1040.1535034179688,0.54,21060.0
37,1037.4984741210938,1037.5099182128906,0.624,22446.0
38,1032.2227478027344,1032.2341918945312,0.523,25212.0
39,1135.0250244140625,1135.0364685058594,0.891,882.0
40,1130.3443908691406,1130.3558349609375,0.675,3336.0
41,1124.6223449707031,1124.6337890625,0.508,6336.0
42,1122.9400634765625,1122.9515075683594,0.505,7218.0
43,1120.3422546386719,1120.3536987304688,0.566,8580.0
44,1104.9842834472656,1104.9957275390625,0.629,16632.0
45,1104.9728393554688,1104.9842834472656,0.652,16638.0
46,1097.9118347167969,1097.9232788085938,0.828,20340.0
47,1095.9892272949219,1096.0006713867188,0.51,21348.0
48,1094.7532653808594,1094.7647094726562,0.706,21996.0
49,1094.2153930664062,1094.2268371582031,0.622,22278.0
50,1094.2039489746094,1094.2153930664062,0.539,22284.0
51,1093.9178466796875,1093.9292907714844,0.601,22434.0
52,1093.5859680175781,1093.597412109375,0.66,22608.0
53,1092.9107666015625,1092.9222106933594,0.574,22962.0
54,1092.498779296875,1092.5102233886719,0.783,23178.0
55,1092.3614501953125,1092.3728942871094,0.505,23250.0
