,start_freq,end_freq,probability,index
0,1090.0063491080277,1090.0179633300297,0.506,24126.0
1,1091.4058628592666,1091.4174770812685,0.531,23400.0
2,1090.0818415510405,1090.0934557730425,0.619,24084.0
3,1090.0237704410306,1090.0353846630326,0.501,24114.0
4,1090.0121562190286,1090.0237704410306,0.904,24120.0
5,1139.643356277874,1139.654970499876,0.602,27618.0
6,1244.4711464011398,1244.4827606231418,0.548,2598.0
7,1244.378232625124,1244.389846847126,0.513,2646.0
8,1244.2272477390982,1244.2388619611002,0.507,2724.0
9,1244.1691766290883,1244.1807908510903,0.545,2754.0
10,1228.025408046333,1228.037022268335,0.544,11094.0
11,1227.8163520502974,1227.8279662722994,0.525,11202.0
12,1227.7118240522796,1227.7234382742815,0.549,11256.0
13,1227.5608391662538,1227.5724533882558,0.509,11334.0
14,1244.5582530661545,1244.5698672881565,0.524,2550.0
15,1244.4885677341426,1244.5001819561446,0.503,2586.0
16,1244.4421108461347,1244.4537250681367,0.508,2610.0
17,1244.4072681801288,1244.4188824021307,0.501,2628.0
18,1244.3491970701189,1244.3608112921208,0.56,2658.0
19,1244.256283294103,1244.267897516105,0.523,2706.0
20,1244.1401410740832,1244.1517552960852,0.537,2766.0
21,1244.0472272980674,1244.0588415200693,0.505,2814.0
22,1227.6711742752725,1227.6827884972745,0.58,11274.0
23,1227.5201893892468,1227.5318036112487,0.553,11352.0
24,1227.4969609452428,1227.5085751672448,0.574,11364.0
25,1227.4853467232408,1227.4969609452428,0.617,11370.0
26,1250.0089526294598,1250.0205668514618,0.536,28872.0
27,1353.5127214444994,1353.5243356665014,0.517,4536.0
28,1362.287266166997,1362.298880388999,0.781,0.0
29,1404.1485517065164,1404.1601659285184,0.513,7512.0
30,1403.2426423903617,1403.2542566123636,0.523,7980.0
31,1363.4871604775767,1363.4987746995787,0.513,28518.0
32,1409.7059569344647,1409.7175711564666,0.532,4638.0
33,1409.438829828419,1409.450444050421,0.524,4776.0
34,1363.3187542585479,1363.3303684805499,0.655,28602.0
35,1362.3780022763874,1362.3896164983894,0.576,29088.0
36,1462.2871693818138,1462.2987836038158,0.501,6612.0
37,1461.7645293917244,1461.7761436137264,0.684,6882.0
38,1455.620605952676,1455.632220174678,0.855,10056.0
39,1468.0304021617937,1468.0420163837957,0.627,3642.0
40,1455.1270015175915,1455.1386157395934,0.707,10308.0
41,1449.4360327366203,1449.4476469586223,0.662,13248.0
42,1531.1457139649406,1531.1573281869426,0.554,174.0
43,1531.1108712989346,1531.1224855209366,0.513,192.0
44,1531.0760286329287,1531.0876428549307,0.587,210.0
45,1530.3443326468039,1530.3559468688059,0.645,588.0
46,1530.2281904267838,1530.2398046487858,0.72,648.0
47,1529.3571237766353,1529.3687379986372,0.563,1098.0
48,1529.3455095546333,1529.3571237766353,0.583,1104.0
49,1529.3222811106293,1529.3338953326313,0.542,1116.0
50,1529.3106668886273,1529.3222811106293,0.676,1122.0
51,1529.2990526666254,1529.3106668886273,0.696,1128.0
52,1529.2642100006194,1529.2758242226214,0.562,1146.0
53,1529.2525957786174,1529.2642100006194,0.69,1152.0
54,1529.2409815566155,1529.2525957786174,0.67,1158.0
55,1529.2293673346135,1529.2409815566155,0.65,1164.0
56,1529.2177531126115,1529.2293673346135,0.501,1170.0
57,1527.9401886923933,1527.9518029143953,0.604,1830.0
58,1527.9285744703914,1527.9401886923933,0.546,1836.0
59,1527.533690922324,1527.545305144326,0.611,2040.0
60,1527.475619812314,1527.487234034316,0.579,2070.0
61,1527.4523913683101,1527.4640055903121,0.752,2082.0
62,1527.2897922602824,1527.3014064822844,0.555,2166.0
63,1527.2781780382804,1527.2897922602824,0.619,2172.0
64,1527.2433353722745,1527.2549495942765,0.745,2190.0
65,1527.2084927062685,1527.2201069282705,0.688,2208.0
66,1526.929751378221,1526.941365600223,0.583,2352.0
67,1526.871680268211,1526.883294490213,0.69,2382.0
68,1526.7787664921952,1526.7903807141972,0.66,2430.0
69,1526.7671522701933,1526.7787664921952,0.747,2436.0
70,1526.7555380481913,1526.7671522701933,0.731,2442.0
71,1526.7323096041873,1526.7439238261893,0.517,2454.0
72,1526.6974669381814,1526.7090811601834,0.638,2472.0
73,1526.6858527161794,1526.6974669381814,0.528,2478.0
74,1526.6626242721754,1526.6742384941774,0.519,2490.0
75,1526.6510100501735,1526.6626242721754,0.823,2496.0
76,1526.6393958281715,1526.6510100501735,0.675,2502.0
77,1526.6277816061695,1526.6393958281715,0.632,2508.0
78,1524.99017630389,1525.001790525892,0.586,3354.0
79,1515.838169366328,1515.84978358833,0.572,8082.0
80,1511.7151205556245,1511.7267347776265,0.605,10212.0
81,1503.3761091582012,1503.3877233802032,0.709,14520.0
82,1530.837937081888,1530.84955130389,0.565,330.0
83,1530.3501397578048,1530.3617539798067,0.774,582.0
84,1530.3385255358028,1530.3501397578048,0.539,588.0
85,1530.3152970917986,1530.3269113138008,0.582,600.0
86,1530.2688402037907,1530.2804544257926,0.518,624.0
87,1530.2339975377847,1530.2456117597867,0.711,642.0
88,1530.2223833157827,1530.2339975377847,0.71,648.0
