,start_freq,end_freq,probability,index
0,1079.8416137695312,1079.8530578613281,0.531,246.0
1,1078.5942077636719,1078.6056518554688,0.567,900.0
2,1075.8018493652344,1075.8132934570312,0.541,2364.0
3,1074.2683410644531,1074.27978515625,0.718,3168.0
4,1073.5130310058594,1073.5244750976562,0.734,3564.0
5,1071.3844299316406,1071.3958740234375,0.544,4680.0
6,1069.8394775390625,1069.8509216308594,0.743,5490.0
7,1067.9168701171875,1067.9283142089844,0.529,6498.0
8,1064.483642578125,1064.4950866699219,0.727,8298.0
9,1063.6825561523438,1063.6940002441406,0.687,8718.0
10,1062.19482421875,1062.2062683105469,0.686,9498.0
11,1062.1604919433594,1062.1719360351562,0.604,9516.0
12,1062.0689392089844,1062.0803833007812,0.657,9564.0
13,1060.272216796875,1060.2836608886719,0.545,10506.0
14,1059.99755859375,1060.0090026855469,0.761,10650.0
15,1059.1049194335938,1059.1163635253906,0.639,11118.0
16,1058.7387084960938,1058.7501525878906,0.542,11310.0
17,1056.0035705566406,1056.0150146484375,0.518,12744.0
18,1055.9120178222656,1055.9234619140625,0.622,12792.0
19,1049.2630004882812,1049.2744445800781,0.535,16278.0
20,1047.3289489746094,1047.3403930664062,0.545,17292.0
21,1047.088623046875,1047.1000671386719,0.653,17418.0
22,1045.623779296875,1045.6352233886719,0.535,18186.0
23,1045.2919006347656,1045.3033447265625,0.879,18360.0
24,1041.2979125976562,1041.3093566894531,0.859,20454.0
25,1040.8172607421875,1040.8287048339844,0.769,20706.0
26,1040.771484375,1040.7829284667969,0.554,20730.0
27,1039.5355224609375,1039.5469665527344,0.786,21378.0
28,1039.1120910644531,1039.12353515625,0.711,21600.0
29,1038.3224487304688,1038.3338928222656,0.76,22014.0
30,1037.8189086914062,1037.8303527832031,0.517,22278.0
31,1037.7388000488281,1037.750244140625,0.609,22320.0
32,1034.9235534667969,1034.9349975585938,0.572,23796.0
33,1032.6919555664062,1032.7033996582031,0.552,24966.0
34,1028.7322998046875,1028.7437438964844,0.612,27042.0
35,1027.2560119628906,1027.2674560546875,0.558,27816.0
36,1026.7982482910156,1026.8096923828125,0.586,28056.0
37,1024.3377685546875,1024.3492126464844,0.587,29346.0
38,1135.2424621582031,1135.25390625,0.736,768.0
39,1134.4528198242188,1134.4642639160156,0.572,1182.0
40,1133.4686279296875,1133.4800720214844,0.797,1698.0
41,1133.2969665527344,1133.3084106445312,0.821,1788.0
42,1133.0909729003906,1133.1024169921875,0.752,1896.0
43,1133.0795288085938,1133.0909729003906,0.902,1902.0
44,1132.9994201660156,1133.0108642578125,0.724,1944.0
45,1132.9421997070312,1132.9536437988281,0.595,1974.0
46,1132.4272155761719,1132.4386596679688,0.897,2244.0
47,1132.0152282714844,1132.0266723632812,0.699,2460.0
48,1131.3629150390625,1131.3743591308594,0.825,2802.0
49,1130.4931640625,1130.5046081542969,0.598,3258.0
50,1130.2413940429688,1130.2528381347656,0.584,3390.0
51,1129.0626525878906,1129.0740966796875,0.86,4008.0
52,1128.3187866210938,1128.3302307128906,0.657,4398.0
53,1125.0,1125.0114440917969,0.676,6138.0
54,1124.3019104003906,1124.3133544921875,0.598,6504.0
55,1124.2103576660156,1124.2218017578125,0.787,6552.0
56,1121.7041015625,1121.7155456542969,0.884,7866.0
57,1115.1123046875,1115.1237487792969,0.673,11322.0
58,1111.0038757324219,1111.0153198242188,0.595,13476.0
59,1110.7406616210938,1110.7521057128906,0.573,13614.0
60,1110.7063293457031,1110.7177734375,0.64,13632.0
61,1109.5161437988281,1109.527587890625,0.547,14256.0
62,1109.2300415039062,1109.2414855957031,0.505,14406.0
63,1107.8910827636719,1107.9025268554688,0.72,15108.0
64,1107.8109741210938,1107.8224182128906,0.527,15150.0
65,1106.7466735839844,1106.7581176757812,0.509,15708.0
66,1105.5450439453125,1105.5564880371094,0.551,16338.0
67,1100.555419921875,1100.5668640136719,0.539,18954.0
68,1099.2507934570312,1099.2622375488281,0.541,19638.0
69,1098.9303588867188,1098.9418029785156,0.742,19806.0
70,1097.7516174316406,1097.7630615234375,0.69,20424.0
71,1095.0279235839844,1095.0393676757812,0.853,21852.0
72,1092.7848815917969,1092.7963256835938,0.671,23028.0
73,1091.3200378417969,1091.3314819335938,0.518,23796.0
74,1090.0039672851562,1090.0154113769531,0.717,24486.0
75,1089.9925231933594,1090.0039672851562,0.696,24492.0
76,1089.569091796875,1089.5805358886719,0.856,24714.0
77,1089.385986328125,1089.3974304199219,0.674,24810.0
78,1089.3745422363281,1089.385986328125,0.573,24816.0
79,1089.3516540527344,1089.3630981445312,0.813,24828.0
80,1088.5391235351562,1088.5505676269531,0.8,25254.0
81,1087.8753662109375,1087.8868103027344,0.546,25602.0
82,1087.8639221191406,1087.8753662109375,0.873,25608.0
83,1087.8524780273438,1087.8639221191406,0.514,25614.0
84,1086.4791870117188,1086.4906311035156,0.848,26334.0
85,1086.4677429199219,1086.4791870117188,0.922,26340.0
86,1085.8039855957031,1085.8154296875,0.842,26688.0
87,1085.6208801269531,1085.63232421875,0.532,26784.0
88,1082.8742980957031,1082.8857421875,0.592,28224.0
89,1082.1304321289062,1082.1418762207031,0.818,28614.0
90,1188.5604858398438,1188.5719299316406,0.849,2382.0
91,1188.2171630859375,1188.2286071777344,0.599,2562.0
92,1187.80517578125,1187.8166198730469,0.517,2778.0
93,1187.1757507324219,1187.1871948242188,0.721,3108.0
94,1183.5365295410156,1183.5479736328125,0.765,5016.0
95,1183.1245422363281,1183.135986328125,0.55,5232.0
96,1182.9185485839844,1182.9299926757812,0.576,5340.0
97,1182.8155517578125,1182.8269958496094,0.673,5394.0
98,1182.6095581054688,1182.6210021972656,0.622,5502.0
99,1182.5065612792969,1182.5180053710938,0.539,5556.0
100,1182.4264526367188,1182.4378967285156,0.522,5598.0
101,1182.3234558105469,1182.3348999023438,0.535,5652.0
102,1182.3005676269531,1182.31201171875,0.666,5664.0
103,1182.0144653320312,1182.0259094238281,0.501,5814.0
104,1181.8084716796875,1181.8199157714844,0.622,5922.0
105,1181.0531616210938,1181.0646057128906,0.76,6318.0
106,1180.9844970703125,1180.9959411621094,0.501,6354.0
107,1180.7441711425781,1180.755615234375,0.605,6480.0
108,1180.4466247558594,1180.4580688476562,0.599,6636.0
109,1180.389404296875,1180.4008483886719,0.502,6666.0
110,1180.1719665527344,1180.1834106445312,0.593,6780.0
111,1180.0117492675781,1180.023193359375,0.857,6864.0
112,1179.9430847167969,1179.9545288085938,0.503,6900.0
113,1179.6226501464844,1179.6340942382812,0.507,7068.0
114,1179.5883178710938,1179.5997619628906,0.502,7086.0
115,1179.4624328613281,1179.473876953125,0.598,7152.0
116,1179.2335510253906,1179.2449951171875,0.546,7272.0
117,1179.0962219238281,1179.107666015625,0.548,7344.0
118,1178.9817810058594,1178.9932250976562,0.561,7404.0
119,1178.2035827636719,1178.2150268554688,0.504,7812.0
120,1178.1234741210938,1178.1349182128906,0.534,7854.0
121,1177.9060363769531,1177.91748046875,0.512,7968.0
122,1177.3452758789062,1177.3567199707031,0.52,8262.0
123,1177.0706176757812,1177.0820617675781,0.661,8406.0
124,1176.7845153808594,1176.7959594726562,0.508,8556.0
125,1175.7545471191406,1175.7659912109375,0.557,9096.0
126,1175.4684448242188,1175.4798889160156,0.535,9246.0
127,1175.0564575195312,1175.0679016113281,0.551,9462.0
128,1174.4384765625,1174.4499206542969,0.537,9786.0
129,1174.2095947265625,1174.2210388183594,0.607,9906.0
130,1174.0264892578125,1174.0379333496094,0.653,10002.0
131,1173.8662719726562,1173.8777160644531,0.518,10086.0
132,1173.431396484375,1173.4428405761719,0.542,10314.0
133,1173.2826232910156,1173.2940673828125,0.616,10392.0
134,1173.2368469238281,1173.248291015625,0.55,10416.0
135,1173.1796264648438,1173.1910705566406,0.62,10446.0
