,start_freq,end_freq,probability,index
0,1078.8345336914062,1078.8459777832031,0.51,774.0
1,1077.8388977050781,1077.850341796875,0.676,1296.0
2,1076.47705078125,1076.4884948730469,0.517,2010.0
3,1074.1539001464844,1074.1653442382812,0.757,3228.0
4,1072.1969604492188,1072.2084045410156,0.522,4254.0
5,1069.0956115722656,1069.1070556640625,0.589,5880.0
6,1064.7468566894531,1064.75830078125,0.642,8160.0
7,1064.7010803222656,1064.7125244140625,0.554,8184.0
8,1064.2318725585938,1064.2433166503906,0.6,8430.0
9,1063.1675720214844,1063.1790161132812,0.596,8988.0
10,1063.1332397460938,1063.1446838378906,0.888,9006.0
11,1062.92724609375,1062.9386901855469,0.575,9114.0
12,1060.5354309082031,1060.546875,0.509,10368.0
13,1059.8487854003906,1059.8602294921875,0.74,10728.0
14,1059.173583984375,1059.1850280761719,0.624,11082.0
15,1055.7174682617188,1055.7289123535156,0.605,12894.0
16,1053.7033081054688,1053.7147521972656,0.593,13950.0
17,1039.48974609375,1039.5011901855469,0.759,21402.0
18,1032.9208374023438,1032.9322814941406,0.508,24846.0
19,1031.5933227539062,1031.6047668457031,0.558,25542.0
20,1030.9066772460938,1030.9181213378906,0.656,25902.0
21,1029.4418334960938,1029.4532775878906,0.506,26670.0
22,1025.9742736816406,1025.9857177734375,0.786,28488.0
23,1025.2876281738281,1025.299072265625,0.592,28848.0
24,1134.8190307617188,1134.8304748535156,0.676,990.0
25,1128.6964416503906,1128.7078857421875,0.669,4200.0
26,1124.08447265625,1124.0959167480469,0.649,6618.0
27,1123.2490539550781,1123.260498046875,0.539,7056.0
28,1122.6425170898438,1122.6539611816406,0.506,7374.0
29,1119.3466186523438,1119.3580627441406,0.667,9102.0
30,1116.5428161621094,1116.5542602539062,0.663,10572.0
31,1112.8578186035156,1112.8692626953125,0.627,12504.0
32,1108.3602905273438,1108.3717346191406,0.514,14862.0
33,1103.2218933105469,1103.2333374023438,0.51,17556.0
34,1100.0175476074219,1100.0289916992188,0.869,19236.0
35,1097.1221923828125,1097.1336364746094,0.504,20754.0
36,1095.8061218261719,1095.8175659179688,0.528,21444.0
37,1095.0279235839844,1095.0393676757812,0.585,21852.0
38,1092.0753479003906,1092.0867919921875,0.596,23400.0
39,1090.850830078125,1090.8622741699219,0.739,24042.0
40,1090.484619140625,1090.4960632324219,0.651,24234.0
41,1089.9467468261719,1089.9581909179688,0.532,24516.0
