,start_freq,end_freq,probability,index
0,1074.2712559619672,1074.2828701839692,0.768,3120.0
1,1073.4234177558226,1073.4350319778246,0.724,3558.0
2,1071.9251831175668,1071.9367973395688,0.525,4332.0
3,1071.9135688955648,1071.9251831175668,0.529,4338.0
4,1070.7753751393707,1070.7869893613727,0.515,4926.0
5,1070.6940755853568,1070.7056898073588,0.601,4968.0
6,1069.5210391631565,1069.5326533851585,0.91,5574.0
7,1068.8125716210357,1068.8241858430376,0.622,5940.0
8,1068.4757591829782,1068.4873734049802,0.558,6114.0
9,1066.060001006566,1066.071615228568,0.826,7362.0
10,1060.043834009539,1060.055448231541,0.578,10470.0
11,1059.3469806894202,1059.3585949114222,0.682,10830.0
12,1059.1146962493806,1059.1263104713826,0.733,10950.0
13,1056.0485416408574,1056.0601558628593,0.717,12534.0
14,1053.3772705804013,1053.3888848024035,0.532,13914.0
15,1053.0636865863478,1053.0753008083498,0.798,14076.0
16,1052.1461630481913,1052.1577772701933,0.562,14550.0
17,1044.1323498668237,1044.1439640888257,0.543,18690.0
18,1043.6329383207383,1043.6445525427403,0.553,18948.0
19,1042.4134450105303,1042.4250592325322,0.69,19578.0
20,1042.2276174584986,1042.2392316805006,0.654,19674.0
21,1042.018561462463,1042.030175684465,0.561,19782.0
22,1037.1870451096383,1037.1986593316403,0.614,22278.0
23,1032.1697012047819,1032.1813154267838,0.814,24870.0
24,1030.834065674554,1030.845679896556,0.77,25560.0
25,1030.5553243465065,1030.5669385685085,0.874,25704.0
26,1030.4972532364966,1030.5088674584986,0.732,25734.0
27,1029.9281563583993,1029.9397705804013,0.625,26028.0
28,1029.8933136923933,1029.9049279143953,0.526,26046.0
29,1029.7307145843656,1029.7423288063676,0.788,26130.0
30,1029.7074861403617,1029.7191003623636,0.518,26142.0
31,1029.6610292523537,1029.6726434743557,0.66,26166.0
32,1029.6145723643458,1029.6261865863478,0.518,26190.0
33,1029.52165858833,1029.533272810332,0.664,26238.0
34,1029.451973256318,1029.46358747832,0.633,26274.0
35,1029.3474452583002,1029.3590594803022,0.63,26328.0
36,1029.2545314822844,1029.2661457042864,0.727,26376.0
37,1029.2429172602824,1029.2545314822844,0.57,26382.0
38,1029.0803181522547,1029.0919323742567,0.526,26466.0
39,1028.3602363881319,1028.3718506101338,0.543,26838.0
40,1028.325393722126,1028.337007944128,0.597,26856.0
41,1028.0931092820863,1028.1047235040883,0.748,26976.0
42,1027.0826719679137,1027.0942861899157,0.793,27498.0
43,1026.281290649777,1026.292904871779,0.606,27912.0
44,1080.1422451839692,1080.1538594059712,0.731,84.0
45,1078.0168425576064,1078.0284567796084,0.642,1182.0
46,1076.0191963732655,1076.0308105952674,0.638,2214.0
47,1075.7752977112239,1075.7869119332258,0.676,2340.0
48,1073.3827679788155,1073.3943822008175,0.647,3576.0
49,1072.7672142127105,1072.7788284347125,0.594,3894.0
50,1072.0819751145934,1072.0935893365954,0.632,4248.0
51,1072.0122897825815,1072.0239040045835,0.514,4284.0
52,1071.9309902285677,1071.9426044505697,0.77,4326.0
53,1071.8961475625617,1071.9077617845637,0.624,4344.0
54,1071.8845333405598,1071.8961475625617,0.545,4350.0
55,1070.7463395843656,1070.7579538063676,0.558,4938.0
56,1070.7231111403617,1070.7347253623636,0.578,4950.0
57,1069.689445382185,1069.701059604187,0.508,5484.0
58,1069.6313742721752,1069.6429884941772,0.864,5514.0
59,1069.5965316061693,1069.6081458281712,0.541,5532.0
60,1069.085505838082,1069.097120060084,0.901,5796.0
61,1068.8996782860504,1068.9112925080524,0.548,5892.0
62,1068.8880640640484,1068.8996782860504,0.547,5898.0
63,1068.2725102979434,1068.2841245199454,0.734,6216.0
64,1067.866012527874,1067.877626749876,0.614,6426.0
65,1067.7963271958622,1067.8079414178642,0.641,6462.0
66,1066.0658081175668,1066.0774223395688,0.771,7356.0
67,1065.949665897547,1065.961280119549,0.796,7416.0
