,start_freq,end_freq,probability,index
0,1072.7119445800781,1072.723388671875,0.683,3984.0
1,1068.9926147460938,1069.0040588378906,0.906,5934.0
2,1068.6721801757812,1068.6836242675781,0.675,6102.0
3,1066.0858154296875,1066.0972595214844,0.646,7458.0
4,1052.6046752929688,1052.6161193847656,0.513,14526.0
5,1045.5207824707031,1045.5322265625,0.578,18240.0
6,1044.1474914550781,1044.158935546875,0.763,18960.0
7,1041.6526794433594,1041.6641235351562,0.649,20268.0
8,1040.7257080078125,1040.7371520996094,0.515,20754.0
9,1039.48974609375,1039.5011901855469,0.547,21402.0
10,1039.4668579101562,1039.4783020019531,0.523,21414.0
11,1030.5061340332031,1030.517578125,0.61,26112.0
12,1026.397705078125,1026.4091491699219,0.512,28266.0
13,1024.7383117675781,1024.749755859375,0.51,29136.0
14,1120.0218200683594,1120.0332641601562,0.583,8748.0
15,1116.1766052246094,1116.1880493164062,0.539,10764.0
16,1114.9978637695312,1115.0093078613281,0.575,11382.0
17,1106.6780090332031,1106.689453125,0.641,15744.0
18,1106.3461303710938,1106.3575744628906,0.664,15918.0
19,1102.9243469238281,1102.935791015625,0.526,17712.0
20,1100.006103515625,1100.0175476074219,0.612,19242.0
21,1098.4954833984375,1098.5069274902344,0.551,20034.0
22,1093.7576293945312,1093.7690734863281,0.56,22518.0
23,1091.49169921875,1091.5031433105469,0.703,23706.0
24,1091.3887023925781,1091.400146484375,0.752,23760.0
25,1091.3772583007812,1091.3887023925781,0.581,23766.0
26,1090.7478332519531,1090.75927734375,0.717,24096.0
27,1089.9810791015625,1089.9925231933594,0.759,24498.0
28,1089.9467468261719,1089.9581909179688,0.542,24516.0
29,1089.7293090820312,1089.7407531738281,0.607,24630.0
30,1089.7178649902344,1089.7293090820312,0.545,24636.0
31,1089.0312194824219,1089.0426635742188,0.572,24996.0
32,1088.9968872070312,1089.0083312988281,0.718,25014.0
33,1088.7222290039062,1088.7336730957031,0.635,25158.0
34,1088.4475708007812,1088.4590148925781,0.854,25302.0
35,1087.005615234375,1087.0170593261719,0.505,26058.0
36,1084.7969055175781,1084.808349609375,0.577,27216.0
37,1082.0388793945312,1082.0503234863281,0.527,28662.0
38,1189.0068054199219,1189.0182495117188,0.616,2148.0
39,1187.4961853027344,1187.5076293945312,0.518,2940.0
40,1186.7408752441406,1186.7523193359375,0.673,3336.0
41,1181.8199157714844,1181.8313598632812,0.748,5916.0
42,1177.2193908691406,1177.2308349609375,0.525,8328.0
43,1173.15673828125,1173.1681823730469,0.577,10458.0
44,1171.7948913574219,1171.8063354492188,0.505,11172.0
45,1171.7376708984375,1171.7491149902344,0.525,11202.0
46,1171.2455749511719,1171.2570190429688,0.652,11460.0
47,1170.6275939941406,1170.6390380859375,0.501,11784.0
48,1166.8281555175781,1166.839599609375,0.54,13776.0
49,1159.1262817382812,1159.1377258300781,0.519,17814.0
50,1157.3410034179688,1157.3524475097656,0.531,18750.0
51,1152.2026062011719,1152.2140502929688,0.629,21444.0
52,1144.9928283691406,1145.0042724609375,0.729,25224.0
53,1143.6080932617188,1143.6195373535156,0.52,25950.0
54,1246.1471557617188,1246.1585998535156,0.666,1758.0
55,1246.1013793945312,1246.1128234863281,0.514,1782.0
56,1246.0784912109375,1246.0899353027344,0.612,1794.0
57,1246.0212707519531,1246.03271484375,0.879,1824.0
58,1246.0098266601562,1246.0212707519531,0.619,1830.0
59,1245.9983825683594,1246.0098266601562,0.774,1836.0
60,1245.9297180175781,1245.941162109375,0.889,1872.0
61,1245.9182739257812,1245.9297180175781,0.515,1878.0
62,1245.9068298339844,1245.9182739257812,0.501,1884.0
63,1245.8953857421875,1245.9068298339844,0.662,1890.0
64,1245.849609375,1245.8610534667969,0.667,1914.0
65,1245.7809448242188,1245.7923889160156,0.714,1950.0
66,1244.2817687988281,1244.293212890625,0.571,2736.0
67,1243.1259155273438,1243.1373596191406,0.581,3342.0
68,1242.1531677246094,1242.1646118164062,0.677,3852.0
69,1241.5122985839844,1241.5237426757812,0.64,4188.0
70,1240.4823303222656,1240.4937744140625,0.608,4728.0
71,1237.0719909667969,1237.0834350585938,0.537,6516.0
72,1235.7559204101562,1235.7673645019531,0.705,7206.0
73,1228.5804748535156,1228.5919189453125,0.52,10968.0
74,1223.32763671875,1223.3390808105469,0.506,13722.0
75,1217.9374694824219,1217.9489135742188,0.597,16548.0
76,1209.7320556640625,1209.7434997558594,0.714,20850.0
77,1208.4846496582031,1208.49609375,0.533,21504.0
78,1205.8181762695312,1205.8296203613281,0.636,22902.0
79,1205.38330078125,1205.3947448730469,0.553,23130.0
80,1205.3260803222656,1205.3375244140625,0.569,23160.0
81,1203.5865783691406,1203.5980224609375,0.521,24072.0
82,1201.3664245605469,1201.3778686523438,0.526,25236.0
83,1194.4541931152344,1194.4656372070312,0.696,28860.0
84,1305.8509826660156,1305.8624267578125,0.575,24.0
85,1305.8052062988281,1305.816650390625,0.507,48.0
86,1305.7937622070312,1305.8052062988281,0.661,54.0
87,1305.7479858398438,1305.7594299316406,0.705,78.0
88,1305.7365417480469,1305.7479858398438,0.687,84.0
89,1305.72509765625,1305.7365417480469,0.691,90.0
90,1305.7022094726562,1305.7136535644531,0.742,102.0
91,1305.6907653808594,1305.7022094726562,0.561,108.0
92,1305.6678771972656,1305.6793212890625,0.743,120.0
93,1305.2787780761719,1305.2902221679688,0.858,324.0
94,1305.2444458007812,1305.2558898925781,0.699,342.0
95,1305.2215576171875,1305.2330017089844,0.632,354.0
96,1305.17578125,1305.1872253417969,0.59,378.0
97,1303.4477233886719,1303.4591674804688,0.626,1284.0
98,1303.2073974609375,1303.2188415527344,0.542,1410.0
99,1303.070068359375,1303.0815124511719,0.823,1482.0
100,1302.9899597167969,1303.0014038085938,0.543,1524.0
101,1302.9556274414062,1302.9670715332031,0.852,1542.0
102,1302.79541015625,1302.8068542480469,0.696,1626.0
103,1302.6008605957031,1302.6123046875,0.528,1728.0
104,1302.5779724121094,1302.5894165039062,0.746,1740.0
105,1302.5665283203125,1302.5779724121094,0.798,1746.0
106,1302.4520874023438,1302.4635314941406,0.808,1806.0
107,1302.4406433105469,1302.4520874023438,0.529,1812.0
108,1302.4063110351562,1302.4177551269531,0.578,1830.0
109,1302.3834228515625,1302.3948669433594,0.594,1842.0
110,1302.337646484375,1302.3490905761719,0.87,1866.0
111,1302.2804260253906,1302.2918701171875,0.507,1896.0
112,1297.6570129394531,1297.66845703125,0.655,4320.0
113,1297.5082397460938,1297.5196838378906,0.591,4398.0
114,1294.647216796875,1294.6586608886719,0.618,5898.0
115,1286.1900329589844,1286.2014770507812,0.541,10332.0
116,1281.8069458007812,1281.8183898925781,0.616,12630.0
117,1280.9944152832031,1281.005859375,0.516,13056.0
118,1272.491455078125,1272.5028991699219,0.589,17514.0
119,1267.2386169433594,1267.2500610351562,0.509,20268.0
120,1265.625,1265.6364440917969,0.595,21114.0
121,1262.5808715820312,1262.5923156738281,0.506,22710.0
122,1258.8043212890625,1258.8157653808594,0.645,24690.0
123,1255.9661865234375,1255.9776306152344,0.562,26178.0
124,1250.0267028808594,1250.0381469726562,0.555,29292.0
125,1250.0152587890625,1250.0267028808594,0.77,29298.0
126,1249.9809265136719,1249.9923706054688,0.518,29316.0
127,1360.2561950683594,1360.2676391601562,0.527,1068.0
128,1359.3406677246094,1359.3521118164062,0.516,1548.0
129,1345.1499938964844,1345.1614379882812,0.657,8988.0
130,1343.2731628417969,1343.2846069335938,0.628,9972.0
131,1340.0688171386719,1340.0802612304688,0.542,11652.0
132,1323.8639831542969,1323.8754272460938,0.531,20148.0
133,1320.7626342773438,1320.7740783691406,0.644,21774.0
