,start_freq,end_freq,probability,index
0,1059.99755859375,1060.0090026855469,0.578,10650.0
1,1059.1392517089844,1059.1506958007812,0.582,11100.0
2,1059.08203125,1059.0934753417969,0.51,11130.0
3,1058.9332580566406,1058.9447021484375,0.554,11208.0
4,1056.0035705566406,1056.0150146484375,0.582,12744.0
5,1052.9823303222656,1052.9937744140625,0.608,14328.0
6,1046.9970703125,1047.0085144042969,0.889,17466.0
7,1039.48974609375,1039.5011901855469,0.923,21402.0
8,1039.1464233398438,1039.1578674316406,0.539,21582.0
9,1034.5230102539062,1034.5344543457031,0.59,24006.0
10,1034.4314575195312,1034.4429016113281,0.519,24054.0
11,1033.1954956054688,1033.2069396972656,0.603,24702.0
12,1031.4445495605469,1031.4559936523438,0.633,25620.0
13,1030.4145812988281,1030.426025390625,0.635,26160.0
14,1030.0025939941406,1030.0140380859375,0.635,26376.0
15,1026.7753601074219,1026.7868041992188,0.539,28068.0
16,1129.4746398925781,1129.486083984375,0.501,3792.0
17,1125.91552734375,1125.9269714355469,0.69,5658.0
18,1124.9313354492188,1124.9427795410156,0.728,6174.0
19,1124.7596740722656,1124.7711181640625,0.694,6264.0
20,1122.9629516601562,1122.9743957519531,0.581,7206.0
21,1121.978759765625,1121.9902038574219,0.996,7722.0
22,1120.0218200683594,1120.0332641601562,0.538,8748.0
23,1118.6370849609375,1118.6485290527344,0.55,9474.0
24,1113.8763427734375,1113.8877868652344,0.695,11970.0
25,1110.5461120605469,1110.5575561523438,0.572,13716.0
26,1108.978271484375,1108.9897155761719,0.673,14538.0
27,1105.5107116699219,1105.5221557617188,0.78,16356.0
28,1104.9957275390625,1105.0071716308594,0.548,16626.0
29,1102.9930114746094,1103.0044555664062,0.531,17676.0
30,1100.6698608398438,1100.6813049316406,0.733,18894.0
31,1100.5096435546875,1100.5210876464844,0.637,18978.0
32,1098.0377197265625,1098.0491638183594,0.716,20274.0
33,1090.9538269042969,1090.9652709960938,0.743,23988.0
34,1090.2328491210938,1090.2442932128906,0.648,24366.0
35,1090.0611877441406,1090.0726318359375,0.855,24456.0
36,1089.9238586425781,1089.935302734375,0.677,24528.0
37,1089.752197265625,1089.7636413574219,0.589,24618.0
38,1089.4088745117188,1089.4203186035156,0.632,24798.0
39,1089.3630981445312,1089.3745422363281,0.862,24822.0
40,1085.63232421875,1085.6437683105469,0.579,26778.0
41,1193.0809020996094,1193.0923461914062,0.538,12.0
42,1193.0122375488281,1193.023681640625,0.697,48.0
43,1192.8749084472656,1192.8863525390625,0.511,120.0
44,1192.7375793457031,1192.7490234375,0.548,192.0
45,1192.19970703125,1192.2111511230469,0.696,474.0
46,1192.0623779296875,1192.0738220214844,0.575,546.0
47,1191.5245056152344,1191.5359497070312,0.586,828.0
48,1191.3185119628906,1191.3299560546875,0.736,936.0
49,1191.3070678710938,1191.3185119628906,0.532,942.0
50,1189.7964477539062,1189.8078918457031,0.571,1734.0
51,1187.9997253417969,1188.0111694335938,0.555,2676.0
52,1186.3861083984375,1186.3975524902344,0.54,3522.0
53,1184.9441528320312,1184.9555969238281,0.81,4278.0
54,1184.4406127929688,1184.4520568847656,0.526,4542.0
55,1184.2460632324219,1184.2575073242188,0.698,4644.0
56,1183.9714050292969,1183.9828491210938,0.535,4788.0
57,1183.6395263671875,1183.6509704589844,0.511,4962.0
58,1183.2504272460938,1183.2618713378906,0.566,5166.0
59,1183.1474304199219,1183.1588745117188,0.613,5220.0
60,1182.6896667480469,1182.7011108398438,0.517,5460.0
61,1182.0602416992188,1182.0716857910156,0.576,5790.0
62,1181.7855834960938,1181.7970275878906,0.599,5934.0
63,1181.0073852539062,1181.0188293457031,0.502,6342.0
64,1180.938720703125,1180.9501647949219,0.515,6378.0
65,1180.4924011230469,1180.5038452148438,0.597,6612.0
66,1180.2520751953125,1180.2635192871094,0.539,6738.0
67,1180.0689697265625,1180.0804138183594,0.734,6834.0
68,1178.8444519042969,1178.8558959960938,0.613,7476.0
69,1178.6842346191406,1178.6956787109375,0.506,7560.0
70,1178.2493591308594,1178.2608032226562,0.558,7788.0
71,1177.91748046875,1177.9289245605469,0.527,7962.0
72,1177.2422790527344,1177.2537231445312,0.574,8316.0
73,1177.093505859375,1177.1049499511719,0.599,8394.0
74,1176.8646240234375,1176.8760681152344,0.503,8514.0
75,1176.6815185546875,1176.6929626464844,0.539,8610.0
76,1176.6700744628906,1176.6815185546875,0.551,8616.0
77,1176.6014099121094,1176.6128540039062,0.57,8652.0
78,1176.5327453613281,1176.544189453125,0.525,8688.0
79,1176.0292053222656,1176.0406494140625,0.618,8952.0
80,1176.0177612304688,1176.0292053222656,0.521,8958.0
81,1175.9262084960938,1175.9376525878906,0.507,9006.0
82,1175.9033203125,1175.9147644042969,0.599,9018.0
83,1175.1823425292969,1175.1937866210938,0.535,9396.0
84,1174.8847961425781,1174.896240234375,0.602,9552.0
85,1174.6673583984375,1174.6788024902344,0.52,9666.0
86,1174.4613647460938,1174.4728088378906,0.528,9774.0
87,1174.4155883789062,1174.4270324707031,0.61,9798.0
88,1174.3583679199219,1174.3698120117188,0.645,9828.0
89,1174.0493774414062,1174.0608215332031,0.552,9990.0
90,1173.8662719726562,1173.8777160644531,0.549,10086.0
91,1173.8090515136719,1173.8204956054688,0.521,10116.0
92,1173.7861633300781,1173.797607421875,0.508,10128.0
93,1173.6946105957031,1173.7060546875,0.563,10176.0
94,1173.0995178222656,1173.1109619140625,0.58,10488.0
95,1172.2755432128906,1172.2869873046875,0.513,10920.0
96,1172.1382141113281,1172.149658203125,0.522,10992.0
97,1171.3027954101562,1171.3142395019531,0.521,11430.0
98,1171.2455749511719,1171.2570190429688,0.543,11460.0
99,1171.0395812988281,1171.051025390625,0.573,11568.0
100,1170.7763671875,1170.7878112792969,0.552,11706.0
101,1169.8493957519531,1169.86083984375,0.561,12192.0
102,1168.7507629394531,1168.76220703125,0.618,12768.0
103,1168.1671142578125,1168.1785583496094,0.683,13074.0
104,1168.121337890625,1168.1327819824219,0.596,13098.0
105,1167.6979064941406,1167.7093505859375,0.512,13320.0
106,1167.5376892089844,1167.5491333007812,0.623,13404.0
107,1165.1458740234375,1165.1573181152344,0.606,14658.0
108,1164.1387939453125,1164.1502380371094,0.582,15186.0
109,1164.00146484375,1164.0129089355469,0.53,15258.0
110,1163.8870239257812,1163.8984680175781,0.639,15318.0
111,1163.5780334472656,1163.5894775390625,0.713,15480.0
112,1163.4178161621094,1163.4292602539062,0.537,15564.0
113,1163.2919311523438,1163.3033752441406,0.531,15630.0
114,1163.2347106933594,1163.2461547851562,0.768,15660.0
115,1163.2003784179688,1163.2118225097656,0.776,15678.0
116,1163.1202697753906,1163.1317138671875,0.626,15720.0
117,1163.0744934082031,1163.0859375,0.502,15744.0
118,1163.0401611328125,1163.0516052246094,0.563,15762.0
119,1162.445068359375,1162.4565124511719,0.535,16074.0
120,1162.4107360839844,1162.4221801757812,0.625,16092.0
121,1162.3764038085938,1162.3878479003906,0.548,16110.0
122,1162.3649597167969,1162.3764038085938,0.557,16116.0
123,1162.1818542480469,1162.1932983398438,0.678,16212.0
124,1161.9758605957031,1161.9873046875,0.518,16320.0
