,start_freq,end_freq,probability,index
0,1079.5324985288653,1079.5441127508673,0.54,402.0
1,1078.2549341086471,1078.2665483306491,0.815,1062.0
2,1074.9913377260903,1075.0029519480922,0.705,2748.0
3,1072.9704630977453,1072.9820773197473,0.61,3792.0
4,1070.3108062592914,1070.3224204812934,0.543,5166.0
5,1068.057647190907,1068.0692614129089,0.741,6330.0
6,1068.034418746903,1068.046032968905,0.685,6342.0
7,1067.999576080897,1068.011190302899,0.508,6360.0
8,1064.8637361403617,1064.8753503623636,0.529,7980.0
9,1062.9938463980427,1063.0054606200447,0.57,8946.0
10,1062.9822321760407,1062.9938463980427,0.524,8952.0
11,1062.668648181987,1062.680262403989,0.505,9114.0
12,1061.0891139897176,1061.1007282117196,0.599,9930.0
13,1060.2528900055747,1060.2645042275767,0.652,10362.0
14,1057.7209896091426,1057.7326038311446,0.825,11670.0
15,1054.1670376765362,1054.1786518985382,0.586,13506.0
16,1052.273919490213,1052.285533712215,0.721,14484.0
17,1052.0067923841675,1052.0184066061695,0.758,14622.0
18,1050.5782430779236,1050.5898572999256,0.542,15360.0
19,1050.1717453078543,1050.1833595298563,0.747,15570.0
20,1047.9882715714816,1047.9998857934836,0.694,16698.0
21,1047.814058241452,1047.8256724634539,0.548,16788.0
22,1038.7433508579038,1038.7549650799058,0.532,21474.0
23,1036.5250344555252,1036.5366486775272,0.662,22620.0
24,1034.4809313831763,1034.4925456051783,0.729,23676.0
25,1034.3880176071605,1034.3996318291624,0.549,23724.0
26,1034.120890501115,1034.1325047231169,0.599,23862.0
27,1033.1917527409564,1033.2033669629584,0.622,24342.0
28,1027.9769670620665,1027.9885812840685,0.612,27036.0
29,1026.931687081888,1026.94330130389,0.723,27576.0
30,1025.9793208777255,1025.9909350997275,0.715,28068.0
31,1024.0165173593905,1024.0281315813925,0.557,29082.0
32,1078.6672389897174,1078.6788532117193,0.671,846.0
33,1076.994791021432,1077.006405243434,0.589,1710.0
34,1075.624312825198,1075.6359270472,0.55,2418.0
35,1074.7300177310456,1074.7416319530475,0.733,2880.0
36,1072.9994986527502,1073.0111128747521,0.854,3774.0
37,1072.2213457786174,1072.2329600006194,0.725,4176.0
38,1071.3618933504706,1071.3735075724726,0.661,4620.0
39,1068.1795965219276,1068.1912107439296,0.584,6264.0
40,1068.0286116359018,1068.0402258579038,0.687,6342.0
